"var","categoria","Sergio Massa por el Frente de Todos","Mauricio Macri por Juntos por el Cambio","No sabe"
"P17","La votaría",0.709,0.012,0.204
"P17","Puede que la vote",0.143,0.009,0.07
"P17","Nunca la votaría",0.106,0.968,0.645
"P17","No sabe",0.042,0.011,0.081
"P18","Lo votaría",0.111,0.23,0.071
"P18","Puede que lo vote",0.079,0.385,0.293
"P18","Nunca lo votaría",0.768,0.325,0.563
"P18","No sabe",0.042,0.06,0.073
"P19","Lo votaría",0.06,0.07,0.107
"P19","Puede que lo vote",0.148,0.354,0.241
"P19","Nunca lo votaría",0.655,0.503,0.496
"P19","No sabe",0.137,0.073,0.156
"P20","La votaría",0.028,0.524,0.154
"P20","Puede que la vote",0.046,0.303,0.182
"P20","Nunca la votaría",0.854,0.135,0.579
"P20","No sabe",0.072,0.038,0.085
"P21","Lo votaría",0.042,0.31,0.23
"P21","Puede que lo vote",0.036,0.284,0.14
"P21","Nunca lo votaría",0.843,0.354,0.532
"P21","No sabe",0.079,0.052,0.098
"P22","La votaría",0.026,0.229,0.051
"P22","Puede que la vote",0.036,0.402,0.154
"P22","Nunca la votaría",0.899,0.298,0.634
"P22","No sabe",0.039,0.071,0.161
"P23","Lo votaría",0.354,0.038,0.088
"P23","Puede que lo vote",0.271,0.085,0.11
"P23","Nunca lo votaría",0.276,0.815,0.633
"P23","No sabe",0.099,0.062,0.169
"P24","Lo votaría",0.069,0.048,0.054
"P24","Puede que lo vote",0.116,0.28,0.094
"P24","Nunca lo votaría",0.683,0.566,0.618
"P24","No sabe",0.132,0.106,0.234
"P25","Mauricio Macri por Juntos por el Cambio",0.005,0.299,0.019
"P25","Horacio Rodríguez Larreta por Juntos por el Cambio",0.019,0.138,0.12
"P25","Patricia Bullrich por Juntos por el Cambio",0.005,0.318,0.093
"P25","Facundo Manes por Juntos por el Cambio",0.032,0.027,0.107
"P25","Alberto Fernández por el Frente de Todos",0.086,0.001,0.04
"P25","Cristina Fernández de Kirchner por el Frente de Todos",0.743,0.012,0.193
"P25","Javier Milei por los liberales libertarios",0.009,0.168,0.204
"P25","Nicolás del Caño por la izquierda",0.02,0.003,0.015
"P25","Otros candidatos",0.04,0.015,0.089
"P25","Aún no lo tengo decidido",0.041,0.019,0.12
"P26","Horacio Rodríguez Larreta por Juntos por el Cambio",0.021,0.186,0.116
"P26","Patricia Bullrich por Juntos por el Cambio",0.006,0.489,0.133
"P26","Facundo Manes por Juntos por el Cambio",0.033,0.079,0.119
"P26","Wado de Pedro por el Frente de Todos",0.364,0.002,0.164
"P26","Sergio Massa por el Frente de Todos",0.452,0.007,0.035
"P26","Javier Milei por los liberales libertarios",0.015,0.167,0.21
"P26","Nicolás del Caño por la izquierda",0.016,0.029,0.035
"P26","Otros candidatos",0.036,0.009,0.042
"P26","Aún no lo tengo decidido",0.057,0.032,0.146
"P27","Cristina Fernández de Kirchner por el Frente de Todos",0.83,0.021,0.249
"P27","Mauricio Macri por Juntos por el Cambio",0.013,0.61,0.035
"P27","Javier Milei por los liberales libertarios",0.025,0.252,0.265
"P27","Nicolás del Caño por la izquierda",0.026,0.004,0.036
"P27","Otro candidato",0.054,0.064,0.188
"P27","Aún no lo tengo decidido",0.052,0.049,0.227
"P29","Horacio Rodríguez Larreta por Juntos por el Cambio",0.132,0.473,0.143
"P29","Wado de Pedro por el Frente de Todos",0.625,0.075,0.151
"P29","Javier Milei por los liberales libertarios",0.028,0.311,0.243
"P29","Nicolás del Caño por la izquierda",0.031,0.004,0.024
"P29","Otro candidato",0.079,0.073,0.193
"P29","Aún no lo tengo decidido",0.105,0.064,0.246
"P31","Sergio Massa por el Frente de Todos",0.742,0.043,0.055
"P31","Patricia Bullrich por Juntos por el Cambio",0.061,0.629,0.174
"P31","Javier Milei por los liberales libertarios",0.015,0.243,0.241
"P31","Nicolás del Caño por la izquierda",0.041,0.003,0.07
"P31","Otro candidato",0.071,0.037,0.225
"P31","Aún no lo tengo decidido",0.07,0.045,0.235
"P33","Sergio Massa por el Frente de Todos",0.693,0.045,0.062
"P33","Horacio Rodríguez Larreta por Juntos por el Cambio",0.099,0.519,0.137
"P33","Javier Milei por los liberales libertarios",0.024,0.308,0.266
"P33","Nicolás del Caño por la izquierda",0.038,0.006,0.047
"P33","Otro candidato",0.071,0.078,0.25
"P33","Aún no lo tengo decidido",0.075,0.044,0.238
"P35","Cristina Fernández de Kirchner por el Frente de Todos",0.817,0.065,0.203
"P35","Horacio Rodríguez Larreta por Juntos por el Cambio",0.063,0.493,0.158
"P35","Javier Milei por los liberales libertarios",0.016,0.322,0.273
"P35","Nicolás del Caño por la izquierda",0.024,0.002,0.021
"P35","Otro candidato",0.041,0.077,0.165
"P35","Aún no lo tengo decidido",0.039,0.041,0.18
"P36","Sergio Massa por el Frente de Todos",0.791,0.025,0.035
"P36","Mauricio Macri por Juntos por el Cambio",0.036,0.624,0.065
"P36","Javier Milei por los liberales libertarios",0.015,0.275,0.265
"P36","Nicolás del Caño por la izquierda",0.036,0.002,0.053
"P36","Otro candidato",0.066,0.047,0.335
"P36","Aún no lo tengo decidido",0.056,0.027,0.247
"P37","Wado de Pedro por el Frente de Todos",0.715,0.013,0.14
"P37","Mauricio Macri por Juntos por el Cambio",0.037,0.641,0.043
"P37","Javier Milei por los liberales libertarios",0.014,0.26,0.249
"P37","Nicolás del Caño por la izquierda",0.034,0.006,0.061
"P37","Otro candidato",0.105,0.057,0.259
"P37","Aún no lo tengo decidido",0.095,0.023,0.248
"P38","Wado de Pedro por el Frente de Todos",0.699,0.016,0.159
"P38","Patricia Bullrich por Juntos por el Cambio",0.053,0.66,0.163
"P38","Javier Milei por los liberales libertarios",0.013,0.234,0.249
"P38","Nicolás del Caño por la izquierda",0.039,0.003,0.026
"P38","Otro candidato",0.107,0.041,0.185
"P38","Aún no lo tengo decidido",0.089,0.046,0.218
"P39","Cristina Fernández de Kirchner por el Frente de Todos",0.788,0.019,0.236
"P39","Patricia Bullrich por Juntos por el Cambio",0.047,0.653,0.18
"P39","Javier Milei por los liberales libertarios",0.016,0.245,0.234
"P39","Nicolás del Caño por la izquierda",0.032,0.003,0.021
"P39","Otro candidato",0.078,0.038,0.138
"P39","Aún no lo tengo decidido",0.039,0.042,0.191
"P40","Cristina Fernández de Kirchner por el Frente de Todos",0.794,0.083,0.245
"P40","Mauricio Macri por Juntos por el Cambio",0.122,0.845,0.078
"P40","No sabe",0.084,0.072,0.677
"P41","Wado de Pedro por el Frente de Todos",0.794,0.027,0.167
"P41","Horacio Rodríguez Larreta por Juntos por el Cambio",0.06,0.785,0.219
"P41","No sabe",0.146,0.188,0.614
"P42","Sergio Massa por el Frente de Todos",0.893,0.018,0.076
"P42","Patricia Bullrich por Juntos por el Cambio",0.033,0.916,0.206
"P42","No sabe",0.074,0.066,0.718
"P44","Sergio Massa por el Frente de Todos",0.914,0.02,0.06
"P44","Javier Milei por los liberales libertarios",0.034,0.664,0.27
"P44","No sabe",0.052,0.316,0.67
"P45","Horacio Rodríguez Larreta por Juntos por el Cambio",0.457,0.251,0.15
"P45","Javier Milei por los liberales libertarios",0.06,0.515,0.281
"P45","No sabe",0.483,0.234,0.569
"P46","Patricia Bullrich por Juntos por el Cambio",0.101,0.825,0.214
"P46","Wado de Pedro por el Frente de Todos",0.644,0.086,0.2
"P46","No sabe",0.255,0.089,0.586
"P47","Patricia Bullrich por Juntos por el Cambio",0.054,0.913,0.278
"P47","Cristina Fernández de Kirchner por el Frente de Todos",0.868,0.029,0.221
"P47","No sabe",0.078,0.058,0.501
"P48","Muy buena",0.128,0.096,0.04
"P48","Buena",0.41,0.022,0.072
"P48","Ni buena ni mala",0.279,0.024,0.212
"P48","Mala",0.113,0.054,0.173
"P48","Muy mala",0.046,0.802,0.482
"P48","No sabe",0.024,0.002,0.021
"P49","Muy buena",0.143,0.009,0.033
"P49","Buena",0.332,0.018,0.083
"P49","Ni buena ni mala",0.34,0.027,0.192
"P49","Mala",0.102,0.086,0.174
"P49","Muy mala",0.071,0.854,0.499
"P49","No sabe",0.012,0.006,0.019
"P50","Muy buena",0.608,0.028,0.18
"P50","Buena",0.166,0,0.072
"P50","Ni buena ni mala",0.122,0.022,0.097
"P50","Mala",0.05,0.038,0.055
"P50","Muy mala",0.052,0.911,0.569
"P50","No sabe",0.002,0.001,0.027
"P51","Muy buena",0.119,0.318,0.032
"P51","Buena",0.049,0.297,0.079
"P51","Ni buena ni mala",0.04,0.188,0.207
"P51","Mala",0.207,0.061,0.16
"P51","Muy mala",0.571,0.135,0.487
"P51","No sabe",0.014,0.001,0.035
"P52","Muy buena",0.039,0.281,0.089
"P52","Buena",0.041,0.279,0.137
"P52","Ni buena ni mala",0.09,0.257,0.238
"P52","Mala",0.217,0.08,0.154
"P52","Muy mala",0.581,0.096,0.352
"P52","No sabe",0.032,0.007,0.03
"P53","Muy buena",0.205,0.026,0.031
"P53","Buena",0.369,0.045,0.078
"P53","Ni buena ni mala",0.25,0.091,0.179
"P53","Mala",0.077,0.146,0.214
"P53","Muy mala",0.078,0.687,0.472
"P53","No sabe",0.021,0.005,0.026
"P54","Muy buena",0.073,0.442,0.1
"P54","Buena",0.043,0.294,0.147
"P54","Ni buena ni mala",0.117,0.112,0.203
"P54","Mala",0.113,0.045,0.162
"P54","Muy mala",0.637,0.088,0.366
"P54","No sabe",0.017,0.019,0.022
"P55","Muy buena",0.036,0.252,0.167
"P55","Buena",0.024,0.238,0.107
"P55","Ni buena ni mala",0.092,0.313,0.286
"P55","Mala",0.157,0.103,0.132
"P55","Muy mala",0.667,0.077,0.283
"P55","No sabe",0.024,0.017,0.025
"P56","Muy buena",0.019,0.305,0.098
"P56","Buena",0.007,0.345,0.12
"P56","Ni buena ni mala",0.077,0.177,0.206
"P56","Mala",0.19,0.1,0.166
"P56","Muy mala",0.701,0.065,0.37
"P56","No sabe",0.006,0.008,0.04
"P57","Muy buena",0.369,0.043,0.079
"P57","Buena",0.224,0.038,0.114
"P57","Ni buena ni mala",0.165,0.154,0.21
"P57","Mala",0.118,0.193,0.152
"P57","Muy mala",0.082,0.52,0.35
"P57","No sabe",0.042,0.052,0.095
"P58","Muy buena",0.096,0.06,0.108
"P58","Buena",0.145,0.163,0.228
"P58","Ni buena ni mala",0.341,0.376,0.288
"P58","Mala",0.168,0.159,0.124
"P58","Muy mala",0.164,0.219,0.185
"P58","No sabe",0.086,0.023,0.067
"P59","Muy buena",0.022,0.061,0.053
"P59","Buena",0.043,0.215,0.113
"P59","Ni buena ni mala",0.254,0.351,0.282
"P59","Mala",0.154,0.123,0.098
"P59","Muy mala",0.439,0.154,0.299
"P59","No sabe",0.088,0.096,0.155
"P60","Siempre",0.306,0.275,0.249
"P60","Casi siempre",0.396,0.38,0.357
"P60","Casi nunca",0.238,0.258,0.252
"P60","Nunca, pero esta es una excepción",0.06,0.087,0.142
"P61","Si",0.607,0.509,0.488
"P61","No",0.393,0.491,0.512
