"var","categoria","Wado de Pedro por el Frente de Todos","Horacio Rodríguez Larreta por Juntos por el Cambio","No sabe"
"P20","La votaría",0.037,0.495,0.216
"P20","Puede que la vote",0.032,0.287,0.215
"P20","Nunca la votaría",0.882,0.177,0.474
"P20","No sabe",0.049,0.041,0.095
"P21","Lo votaría",0.049,0.242,0.318
"P21","Puede que lo vote",0.026,0.294,0.162
"P21","Nunca lo votaría",0.9,0.384,0.417
"P21","No sabe",0.025,0.08,0.103
"P22","La votaría",0.026,0.241,0.044
"P22","Puede que la vote",0.031,0.406,0.169
"P22","Nunca la votaría",0.922,0.252,0.681
"P22","No sabe",0.021,0.101,0.106
"P23","Lo votaría",0.42,0.04,0.014
"P23","Puede que lo vote",0.283,0.088,0.093
"P23","Nunca lo votaría",0.199,0.798,0.761
"P23","No sabe",0.098,0.074,0.132
"P24","Lo votaría",0.079,0.055,0.027
"P24","Puede que lo vote",0.083,0.303,0.114
"P24","Nunca lo votaría",0.721,0.519,0.66
"P24","No sabe",0.117,0.123,0.199
"P25","Mauricio Macri por Juntos por el Cambio",0.003,0.274,0.101
"P25","Horacio Rodríguez Larreta por Juntos por el Cambio",0.012,0.202,0.025
"P25","Patricia Bullrich por Juntos por el Cambio",0.009,0.279,0.152
"P25","Facundo Manes por Juntos por el Cambio",0.018,0.049,0.073
"P25","Alberto Fernández por el Frente de Todos",0.068,0.007,0.063
"P25","Cristina Fernández de Kirchner por el Frente de Todos",0.818,0.002,0.129
"P25","Javier Milei por los liberales libertarios",0.014,0.128,0.266
"P25","Nicolás del Caño por la izquierda",0.017,0.005,0.013
"P25","Otros candidatos",0.015,0.021,0.088
"P25","Aún no lo tengo decidido",0.026,0.033,0.09
"P26","Horacio Rodríguez Larreta por Juntos por el Cambio",0.001,0.242,0.054
"P26","Patricia Bullrich por Juntos por el Cambio",0.005,0.459,0.216
"P26","Facundo Manes por Juntos por el Cambio",0.005,0.103,0.1
"P26","Wado de Pedro por el Frente de Todos",0.473,0.004,0.031
"P26","Sergio Massa por el Frente de Todos",0.406,0.005,0.118
"P26","Javier Milei por los liberales libertarios",0.039,0.121,0.251
"P26","Nicolás del Caño por la izquierda",0.014,0.03,0.035
"P26","Otros candidatos",0.02,0.016,0.04
"P26","Aún no lo tengo decidido",0.037,0.02,0.155
"P27","Cristina Fernández de Kirchner por el Frente de Todos",0.9,0.012,0.198
"P27","Mauricio Macri por Juntos por el Cambio",0.009,0.566,0.167
"P27","Javier Milei por los liberales libertarios",0.015,0.215,0.322
"P27","Nicolás del Caño por la izquierda",0.017,0.017,0.037
"P27","Otro candidato",0.021,0.117,0.119
"P27","Aún no lo tengo decidido",0.038,0.073,0.157
"P29","Horacio Rodríguez Larreta por Juntos por el Cambio",0.105,0.555,0.079
"P29","Wado de Pedro por el Frente de Todos",0.745,0.08,0.034
"P29","Javier Milei por los liberales libertarios",0.035,0.232,0.374
"P29","Nicolás del Caño por la izquierda",0.025,0.006,0.028
"P29","Otro candidato",0.033,0.07,0.217
"P29","Aún no lo tengo decidido",0.057,0.057,0.268
"P31","Sergio Massa por el Frente de Todos",0.717,0.073,0.095
"P31","Patricia Bullrich por Juntos por el Cambio",0.052,0.611,0.245
"P31","Javier Milei por los liberales libertarios",0.019,0.191,0.316
"P31","Nicolás del Caño por la izquierda",0.037,0.027,0.031
"P31","Otro candidato",0.077,0.05,0.162
"P31","Aún no lo tengo decidido",0.098,0.048,0.151
"P33","Sergio Massa por el Frente de Todos",0.663,0.043,0.137
"P33","Horacio Rodríguez Larreta por Juntos por el Cambio",0.089,0.603,0.055
"P33","Javier Milei por los liberales libertarios",0.036,0.234,0.378
"P33","Nicolás del Caño por la izquierda",0.035,0.016,0.031
"P33","Otro candidato",0.088,0.066,0.217
"P33","Aún no lo tengo decidido",0.089,0.038,0.182
"P35","Cristina Fernández de Kirchner por el Frente de Todos",0.864,0.069,0.17
"P35","Horacio Rodríguez Larreta por Juntos por el Cambio",0.047,0.588,0.058
"P35","Javier Milei por los liberales libertarios",0.026,0.236,0.406
"P35","Nicolás del Caño por la izquierda",0.02,0.005,0.021
"P35","Otro candidato",0.013,0.051,0.206
"P35","Aún no lo tengo decidido",0.03,0.051,0.139
"P36","Sergio Massa por el Frente de Todos",0.755,0.038,0.118
"P36","Mauricio Macri por Juntos por el Cambio",0.02,0.602,0.172
"P36","Javier Milei por los liberales libertarios",0.023,0.209,0.348
"P36","Nicolás del Caño por la izquierda",0.034,0.02,0.025
"P36","Otro candidato",0.104,0.084,0.179
"P36","Aún no lo tengo decidido",0.064,0.047,0.158
"P37","Wado de Pedro por el Frente de Todos",0.853,0.013,0.013
"P37","Mauricio Macri por Juntos por el Cambio",0.033,0.602,0.164
"P37","Javier Milei por los liberales libertarios",0.017,0.205,0.336
"P37","Nicolás del Caño por la izquierda",0.028,0.029,0.034
"P37","Otro candidato",0.029,0.112,0.22
"P37","Aún no lo tengo decidido",0.04,0.039,0.233
"P38","Wado de Pedro por el Frente de Todos",0.832,0.012,0.03
"P38","Patricia Bullrich por Juntos por el Cambio",0.04,0.654,0.22
"P38","Javier Milei por los liberales libertarios",0.013,0.192,0.318
"P38","Nicolás del Caño por la izquierda",0.025,0.012,0.032
"P38","Otro candidato",0.048,0.08,0.176
"P38","Aún no lo tengo decidido",0.042,0.05,0.224
"P39","Cristina Fernández de Kirchner por el Frente de Todos",0.867,0.014,0.171
"P39","Patricia Bullrich por Juntos por el Cambio",0.03,0.673,0.207
"P39","Javier Milei por los liberales libertarios",0.02,0.189,0.324
"P39","Nicolás del Caño por la izquierda",0.018,0.007,0.03
"P39","Otro candidato",0.028,0.073,0.119
"P39","Aún no lo tengo decidido",0.037,0.044,0.149
"P40","Cristina Fernández de Kirchner por el Frente de Todos",0.859,0.078,0.191
"P40","Mauricio Macri por Juntos por el Cambio",0.109,0.758,0.309
"P40","No sabe",0.032,0.164,0.5
"P42","Sergio Massa por el Frente de Todos",0.845,0.047,0.132
"P42","Patricia Bullrich por Juntos por el Cambio",0.04,0.866,0.331
"P42","No sabe",0.115,0.087,0.537
"P43","Sergio Massa por el Frente de Todos",0.841,0.046,0.177
"P43","Mauricio Macri por Juntos por el Cambio",0.04,0.841,0.321
"P43","No sabe",0.119,0.113,0.502
"P44","Sergio Massa por el Frente de Todos",0.839,0.055,0.139
"P44","Javier Milei por los liberales libertarios",0.044,0.585,0.419
"P44","No sabe",0.117,0.36,0.442
"P45","Horacio Rodríguez Larreta por Juntos por el Cambio",0.423,0.338,0.079
"P45","Javier Milei por los liberales libertarios",0.05,0.427,0.451
"P45","No sabe",0.527,0.235,0.47
"P46","Patricia Bullrich por Juntos por el Cambio",0.092,0.795,0.346
"P46","Wado de Pedro por el Frente de Todos",0.768,0.072,0.087
"P46","No sabe",0.14,0.133,0.567
"P47","Patricia Bullrich por Juntos por el Cambio",0.052,0.865,0.431
"P47","Cristina Fernández de Kirchner por el Frente de Todos",0.909,0.036,0.171
"P47","No sabe",0.039,0.099,0.398
"P48","Muy buena",0.112,0.102,0.062
"P48","Buena",0.442,0.022,0.047
"P48","Ni buena ni mala",0.275,0.041,0.166
"P48","Mala",0.122,0.08,0.102
"P48","Muy mala",0.049,0.753,0.578
"P48","No sabe",0,0.002,0.045
"P49","Muy buena",0.127,0.011,0.051
"P49","Buena",0.374,0.02,0.035
"P49","Ni buena ni mala",0.323,0.038,0.179
"P49","Mala",0.115,0.124,0.082
"P49","Muy mala",0.06,0.802,0.622
"P49","No sabe",0.001,0.005,0.031
"P50","Muy buena",0.669,0.021,0.123
"P50","Buena",0.165,0.013,0.049
"P50","Ni buena ni mala",0.106,0.02,0.112
"P50","Mala",0.011,0.062,0.057
"P50","Muy mala",0.046,0.883,0.639
"P50","No sabe",0.003,0.001,0.02
"P51","Muy buena",0.116,0.3,0.107
"P51","Buena",0.056,0.25,0.175
"P51","Ni buena ni mala",0.035,0.203,0.177
"P51","Mala",0.167,0.097,0.136
"P51","Muy mala",0.609,0.15,0.377
"P51","No sabe",0.017,0,0.028
"P52","Muy buena",0.01,0.331,0.062
"P52","Buena",0.023,0.321,0.1
"P52","Ni buena ni mala",0.096,0.235,0.262
"P52","Mala",0.212,0.059,0.189
"P52","Muy mala",0.644,0.053,0.33
"P52","No sabe",0.015,0.001,0.057
"P53","Muy buena",0.178,0.032,0.06
"P53","Buena",0.351,0.068,0.071
"P53","Ni buena ni mala",0.233,0.102,0.173
"P53","Mala",0.124,0.15,0.137
"P53","Muy mala",0.11,0.646,0.51
"P53","No sabe",0.004,0.002,0.049
"P54","Muy buena",0.075,0.403,0.207
"P54","Buena",0.046,0.293,0.16
"P54","Ni buena ni mala",0.106,0.114,0.199
"P54","Mala",0.1,0.07,0.117
"P54","Muy mala",0.669,0.1,0.282
"P54","No sabe",0.004,0.02,0.035
"P55","Muy buena",0.042,0.196,0.262
"P55","Buena",0.018,0.222,0.155
"P55","Ni buena ni mala",0.07,0.348,0.248
"P55","Mala",0.153,0.116,0.112
"P55","Muy mala",0.71,0.099,0.182
"P55","No sabe",0.007,0.019,0.041
"P56","Muy buena",0.008,0.328,0.093
"P56","Buena",0.023,0.345,0.125
"P56","Ni buena ni mala",0.05,0.191,0.207
"P56","Mala",0.181,0.065,0.228
"P56","Muy mala",0.734,0.06,0.315
"P56","No sabe",0.004,0.011,0.032
"P57","Muy buena",0.418,0.042,0.028
"P57","Buena",0.278,0.04,0.042
"P57","Ni buena ni mala",0.164,0.159,0.196
"P57","Mala",0.052,0.207,0.211
"P57","Muy mala",0.062,0.496,0.425
"P57","No sabe",0.026,0.056,0.098
"P58","Muy buena",0.09,0.086,0.066
"P58","Buena",0.159,0.194,0.146
"P58","Ni buena ni mala",0.355,0.371,0.293
"P58","Mala",0.175,0.162,0.117
"P58","Muy mala",0.173,0.149,0.296
"P58","No sabe",0.048,0.038,0.082
"P59","Muy buena",0.02,0.07,0.039
"P59","Buena",0.028,0.231,0.114
"P59","Ni buena ni mala",0.195,0.392,0.293
"P59","Mala",0.171,0.103,0.117
"P59","Muy mala",0.509,0.104,0.287
"P59","No sabe",0.077,0.1,0.15
"P60","Siempre",0.299,0.267,0.275
"P60","Casi siempre",0.411,0.383,0.339
"P60","Casi nunca",0.221,0.241,0.303
"P60","Nunca, pero esta es una excepción",0.069,0.109,0.083
"P61","Si",0.594,0.516,0.499
"P61","No",0.406,0.484,0.501
