"var","categoria","Patricia Bullrich por Juntos por el Cambio","Wado de Pedro por el Frente de Todos","No sabe"
"P45","Javier Milei por los liberales libertarios",0.464,0.183,0.198
"P45","No sabe",0.204,0.444,0.66
"P47","Patricia Bullrich por Juntos por el Cambio",0.936,0.111,0.161
"P47","Cristina Fernández de Kirchner por el Frente de Todos",0.042,0.834,0.305
"P47","No sabe",0.022,0.055,0.534
"P48","Muy buena",0.078,0.148,0.062
"P48","Buena",0.029,0.33,0.191
"P48","Ni buena ni mala",0.018,0.303,0.198
"P48","Mala",0.062,0.129,0.129
"P48","Muy mala",0.811,0.09,0.372
"P48","No sabe",0.002,0,0.048
"P49","Muy buena",0.018,0.106,0.069
"P49","Buena",0.035,0.306,0.11
"P49","Ni buena ni mala",0.023,0.294,0.266
"P49","Mala",0.098,0.13,0.109
"P49","Muy mala",0.821,0.163,0.413
"P49","No sabe",0.005,0.001,0.033
"P50","Muy buena",0.044,0.65,0.147
"P50","Buena",0.016,0.113,0.114
"P50","Ni buena ni mala",0.016,0.067,0.173
"P50","Mala",0.035,0.013,0.102
"P50","Muy mala",0.888,0.154,0.442
"P50","No sabe",0.001,0.003,0.022
"P51","Muy buena",0.301,0.137,0.057
"P51","Buena",0.27,0.055,0.125
"P51","Ni buena ni mala",0.199,0.049,0.157
"P51","Mala",0.065,0.19,0.174
"P51","Muy mala",0.156,0.566,0.456
"P51","No sabe",0.009,0.003,0.031
"P52","Muy buena",0.275,0.05,0.09
"P52","Buena",0.274,0.051,0.13
"P52","Ni buena ni mala",0.232,0.116,0.238
"P52","Mala",0.08,0.226,0.148
"P52","Muy mala",0.124,0.556,0.344
"P52","No sabe",0.015,0.001,0.05
"P53","Muy buena",0.027,0.147,0.114
"P53","Buena",0.063,0.342,0.105
"P53","Ni buena ni mala",0.096,0.223,0.206
"P53","Mala",0.149,0.126,0.135
"P53","Muy mala",0.662,0.153,0.396
"P53","No sabe",0.003,0.009,0.044
"P54","Muy buena",0.445,0.057,0.121
"P54","Buena",0.311,0.062,0.087
"P54","Ni buena ni mala",0.108,0.085,0.238
"P54","Mala",0.032,0.126,0.162
"P54","Muy mala",0.094,0.655,0.351
"P54","No sabe",0.01,0.015,0.041
"P55","Muy buena",0.227,0.092,0.139
"P55","Buena",0.236,0.068,0.054
"P55","Ni buena ni mala",0.322,0.077,0.267
"P55","Mala",0.097,0.147,0.157
"P55","Muy mala",0.101,0.613,0.333
"P55","No sabe",0.017,0.003,0.05
"P56","Muy buena",0.288,0.061,0.076
"P56","Buena",0.349,0.055,0.052
"P56","Ni buena ni mala",0.175,0.062,0.214
"P56","Mala",0.092,0.184,0.187
"P56","Muy mala",0.088,0.637,0.43
"P56","No sabe",0.008,0.001,0.041
"P57","Muy buena",0.054,0.36,0.098
"P57","Buena",0.036,0.259,0.085
"P57","Ni buena ni mala",0.14,0.164,0.234
"P57","Mala",0.19,0.084,0.196
"P57","Muy mala",0.513,0.118,0.297
"P57","No sabe",0.067,0.015,0.09
"P58","Muy buena",0.068,0.064,0.129
"P58","Buena",0.177,0.14,0.196
"P58","Ni buena ni mala",0.367,0.358,0.295
"P58","Mala",0.163,0.183,0.104
"P58","Muy mala",0.204,0.204,0.164
"P58","No sabe",0.021,0.051,0.112
"P59","Muy buena",0.07,0.018,0.037
"P59","Buena",0.218,0.044,0.102
"P59","Ni buena ni mala",0.349,0.204,0.347
"P59","Mala",0.113,0.163,0.113
"P59","Muy mala",0.157,0.473,0.261
"P59","No sabe",0.093,0.098,0.14
"P60","Siempre",0.282,0.267,0.289
"P60","Casi siempre",0.387,0.408,0.334
"P60","Casi nunca",0.246,0.235,0.276
"P60","Nunca, pero esta es una excepción",0.085,0.09,0.101
"P61","Si",0.51,0.577,0.537
"P61","No",0.49,0.423,0.463
