"var","categoria","Toloza Paz","Diego Santilli","Facundo Manes","Florencio Randazzo","A la izquierda","Jose Luis Espert","Otros candidatos","Votaría en blanco o anularía"
"P42","No sabe",0.004,0.002,0.012,0,0.101,0,0.003,0.025
"P43","Muy buena",0.662,0.035,0.058,0.046,0.082,0.06,0.271,0.171
"P43","Buena",0.107,0.022,0.041,0.174,0.099,0.007,0.062,0.114
"P43","Ni buena ni mala",0.071,0.028,0.066,0.01,0.049,0.032,0.211,0.174
"P43","Mala",0.02,0.06,0.051,0.235,0.354,0.053,0.112,0.057
"P43","Muy mala",0.133,0.852,0.782,0.535,0.401,0.848,0.317,0.471
"P43","No sabe",0.007,0.003,0.002,0,0.015,0,0.027,0.013
"P44","Muy buena",0.082,0.275,0.106,0.065,0,0.012,0.071,0.094
"P44","Buena",0.034,0.282,0.2,0,0,0.198,0.068,0.063
"P44","Ni buena ni mala",0.041,0.262,0.281,0.074,0.239,0.272,0.2,0.213
"P44","Mala",0.19,0.084,0.209,0.356,0.304,0.326,0.264,0.168
"P44","Muy mala",0.642,0.082,0.175,0.339,0.457,0.185,0.365,0.443
"P44","No sabe",0.011,0.015,0.029,0.166,0,0.007,0.032,0.019
"P45","Muy buena",0.102,0.494,0.318,0.203,0.02,0.099,0.097,0.135
"P45","Buena",0.102,0.323,0.328,0.315,0.097,0.338,0.172,0.139
"P45","Ni buena ni mala",0.199,0.115,0.172,0.199,0.103,0.283,0.36,0.281
"P45","Mala",0.254,0.021,0.069,0.234,0.387,0.151,0.191,0.164
"P45","Muy mala",0.317,0.03,0.099,0.049,0.139,0.123,0.115,0.219
"P45","No sabe",0.026,0.017,0.014,0,0.254,0.006,0.065,0.062
"P64","Totalmente de acuerdo",0.608,0.029,0.052,0.15,0.413,0.055,0.346,0.261
"P64","Bastante de acuerdo",0.243,0.064,0.076,0.175,0.149,0.022,0.179,0.234
"P64","Poco de acuerdo",0.051,0.277,0.367,0.319,0.394,0.26,0.163,0.329
"P64","Nada de acuerdo",0.069,0.547,0.433,0.338,0.044,0.636,0.202,0.125
"P64","No sabe",0.029,0.083,0.072,0.018,0,0.027,0.11,0.051
"P67","Si, hay mucha información en los medios y comprendo las medidas preventivas",0.662,0.421,0.455,0.687,0.529,0.488,0.586,0.581
"P67","Si, hay mucha información, aunque muchas veces es contradictoria",0.204,0.336,0.418,0.279,0.257,0.209,0.274,0.231
"P67","Mas o menos. Es difícil creerle a los que informan",0.099,0.169,0.081,0.008,0.176,0.174,0.084,0.132
"P67","No, la información es escasa y difícil de entender",0.002,0.025,0.015,0.021,0.019,0.053,0,0.03
"P67","No, la información no es confiable y es imposible de entender",0.019,0.04,0.029,0,0.019,0.009,0.046,0.022
"P67","No sabe",0.014,0.009,0.002,0.005,0,0.067,0.01,0.004
"P74","La Pfizer, fabricada en Estados Unidos",0.114,0.608,0.472,0.375,0.098,0.651,0.282,0.113
"P74","La Sputnik, fabricada en Rusia",0.476,0.118,0.115,0.231,0.204,0.067,0.199,0.247
"P74","La vacuna de Oxford, fabricada por AstraZeneca en Argentina y México",0.058,0.018,0.087,0.058,0.043,0.049,0.032,0.066
"P74","La vacuna de Oxford, fabricada por AstraZeneca en India",0.016,0.017,0.042,0.01,0,0.023,0.021,0.042
"P74","La vacuna China fabricada en China",0.029,0.009,0.002,0.022,0.011,0.024,0.008,0.124
"P74","Me resultan todas confiables",0.268,0.137,0.146,0.211,0.495,0.059,0.423,0.115
"P74","No sabe",0.039,0.093,0.136,0.093,0.149,0.127,0.035,0.293
