"var","categoria","El gobierno nacional","El gobierno provincial","No sabe"
"P29","Muy buena",0.091,0.065,0.025
"P29","Buena",0.142,0.162,0.106
"P29","Ni buena ni mala",0.458,0.373,0.583
"P29","Mala",0.231,0.222,0.153
"P29","Muy mala",0.027,0.078,0.026
"P29","No sabe",0.051,0.1,0.107
"P30","Muy buena",0.047,0.052,0.011
"P30","Buena",0.098,0.121,0.065
"P30","Ni buena ni mala",0.458,0.381,0.582
"P30","Mala",0.263,0.238,0.139
"P30","Muy mala",0.039,0.099,0.058
"P30","No sabe",0.095,0.109,0.145
"P31","Muy buena",0.079,0.057,0.039
"P31","Buena",0.085,0.132,0.066
"P31","Ni buena ni mala",0.449,0.387,0.562
"P31","Mala",0.218,0.229,0.126
"P31","Muy mala",0.025,0.084,0.047
"P31","No sabe",0.144,0.111,0.16
"P32","Muy buena",0.071,0.09,0.032
"P32","Buena",0.072,0.074,0.055
"P32","Ni buena ni mala",0.46,0.421,0.561
"P32","Mala",0.241,0.19,0.134
"P32","Muy mala",0.002,0.083,0.039
"P32","No sabe",0.154,0.142,0.179
"P33","Muy buena",0.146,0.056,0.077
"P33","Buena",0.188,0.11,0.18
"P33","Ni buena ni mala",0.405,0.393,0.448
"P33","Mala",0.183,0.246,0.131
"P33","Muy mala",0.014,0.118,0.026
"P33","No sabe",0.064,0.077,0.138
"P34","Muy buena",0.27,0.154,0.175
"P34","Buena",0.187,0.15,0.178
"P34","Ni buena ni mala",0.346,0.27,0.401
"P34","Mala",0.153,0.291,0.107
"P34","Muy mala",0.026,0.11,0.058
"P34","No sabe",0.018,0.025,0.081
"P35","Muy buena",0.119,0.078,0.07
"P35","Buena",0.148,0.113,0.109
"P35","Ni buena ni mala",0.461,0.395,0.545
"P35","Mala",0.163,0.213,0.079
"P35","Muy mala",0.021,0.083,0.031
"P35","No sabe",0.088,0.118,0.166
"P36","Muy buena",0.312,0.185,0.109
"P36","Buena",0.115,0.099,0.092
"P36","Ni buena ni mala",0.188,0.174,0.291
"P36","Mala",0.224,0.261,0.216
"P36","Muy mala",0.129,0.245,0.222
"P36","No sabe",0.032,0.036,0.07
"P37","Muy buena",0.134,0.153,0.159
"P37","Buena",0.213,0.199,0.201
"P37","Ni buena ni mala",0.275,0.226,0.256
"P37","Mala",0.245,0.239,0.188
"P37","Muy mala",0.122,0.155,0.134
"P37","No sabe",0.011,0.028,0.062
"P38","Muy buena",0.228,0.157,0.087
"P38","Buena",0.155,0.108,0.143
"P38","Ni buena ni mala",0.162,0.159,0.192
"P38","Mala",0.245,0.285,0.259
"P38","Muy mala",0.21,0.278,0.263
"P38","No sabe",0,0.013,0.056
"P39","Muy buena",0.235,0.269,0.289
"P39","Buena",0.16,0.184,0.17
"P39","Ni buena ni mala",0.244,0.145,0.253
"P39","Mala",0.183,0.195,0.133
"P39","Muy mala",0.177,0.198,0.12
"P39","No sabe",0.001,0.009,0.035
"P40","Muy buena",0.276,0.279,0.325
"P40","Buena",0.218,0.235,0.205
"P40","Ni buena ni mala",0.167,0.139,0.236
"P40","Mala",0.181,0.145,0.114
"P40","Muy mala",0.147,0.193,0.081
"P40","No sabe",0.011,0.009,0.039
