"clase","Opinión","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Centro","Norte","Sur","Buenos Aires","Fernandez","Macri","Lavagna"
"Javier Milei","No sabe",0.023,0.009,0.036,0.015,0.024,0.02,0.034,0.05,0.013,0.01,0.029,0.025,0.029,0.016,0.027,0.011,0.013
"Mauricio Macri","Muy buena",0.155,0.133,0.176,0.116,0.124,0.189,0.218,0.139,0.149,0.179,0.161,0.151,0.081,0.162,0.069,0.294,0.065
"Mauricio Macri","Buena",0.171,0.175,0.167,0.12,0.143,0.215,0.226,0.146,0.178,0.186,0.187,0.162,0.166,0.161,0.063,0.312,0.087
"Mauricio Macri","Ni buena ni mala",0.164,0.171,0.157,0.228,0.171,0.124,0.136,0.172,0.171,0.146,0.147,0.213,0.233,0.149,0.1,0.18,0.241
"Mauricio Macri","Mala",0.139,0.142,0.137,0.139,0.159,0.126,0.114,0.152,0.141,0.124,0.117,0.162,0.155,0.147,0.183,0.066,0.156
"Mauricio Macri","Muy mala",0.363,0.375,0.352,0.392,0.396,0.34,0.292,0.379,0.354,0.361,0.38,0.303,0.364,0.373,0.578,0.146,0.446
"Mauricio Macri","No sabe",0.008,0.004,0.011,0.005,0.007,0.006,0.014,0.012,0.007,0.004,0.008,0.009,0.001,0.008,0.007,0.002,0.005
"CFK","Muy buena",0.232,0.212,0.251,0.174,0.257,0.239,0.227,0.266,0.211,0.226,0.216,0.191,0.233,0.262,0.549,0.042,0.056
"CFK","Buena",0.075,0.069,0.081,0.082,0.089,0.055,0.066,0.096,0.066,0.069,0.082,0.066,0.055,0.076,0.146,0.018,0.049
"CFK","Ni buena ni mala",0.061,0.049,0.073,0.087,0.069,0.037,0.05,0.076,0.068,0.038,0.059,0.073,0.12,0.05,0.097,0.018,0.072
"CFK","Mala",0.061,0.067,0.055,0.064,0.054,0.055,0.08,0.069,0.07,0.04,0.061,0.084,0.056,0.052,0.041,0.051,0.151
"CFK","Muy mala",0.564,0.599,0.529,0.578,0.526,0.609,0.571,0.486,0.575,0.624,0.578,0.573,0.535,0.552,0.162,0.867,0.672
"CFK","No sabe",0.007,0.004,0.011,0.015,0.005,0.005,0.006,0.007,0.01,0.003,0.004,0.013,0.001,0.008,0.005,0.004,0
"Facundo Manes","Muy buena",0.072,0.078,0.067,0.067,0.076,0.072,0.07,0.083,0.065,0.071,0.082,0.08,0.072,0.061,0.052,0.078,0.139
"Facundo Manes","Buena",0.125,0.144,0.107,0.096,0.119,0.142,0.148,0.121,0.123,0.133,0.109,0.144,0.127,0.132,0.133,0.12,0.215
"Facundo Manes","Ni buena ni mala",0.331,0.311,0.35,0.294,0.338,0.328,0.359,0.336,0.34,0.314,0.319,0.359,0.301,0.334,0.387,0.301,0.294
"Facundo Manes","Mala",0.172,0.167,0.176,0.123,0.173,0.19,0.193,0.16,0.163,0.194,0.173,0.141,0.128,0.188,0.159,0.191,0.132
"Facundo Manes","Muy mala",0.24,0.26,0.22,0.334,0.226,0.232,0.183,0.21,0.246,0.26,0.264,0.194,0.247,0.237,0.188,0.283,0.174
"Facundo Manes","No sabe",0.06,0.04,0.08,0.086,0.068,0.036,0.047,0.09,0.063,0.028,0.053,0.082,0.125,0.048,0.081,0.027,0.046
"Gerardo Morales","Muy buena",0.056,0.051,0.061,0.039,0.053,0.054,0.085,0.066,0.047,0.06,0.051,0.1,0.033,0.046,0.022,0.086,0.07
"Gerardo Morales","Buena",0.12,0.137,0.103,0.072,0.094,0.162,0.171,0.103,0.118,0.139,0.115,0.13,0.099,0.123,0.049,0.198,0.219
"Gerardo Morales","Ni buena ni mala",0.345,0.311,0.378,0.293,0.369,0.343,0.349,0.387,0.346,0.303,0.322,0.376,0.319,0.356,0.285,0.391,0.364
"Gerardo Morales","Mala",0.134,0.152,0.117,0.103,0.132,0.157,0.139,0.116,0.127,0.161,0.139,0.112,0.136,0.138,0.166,0.111,0.129
"Gerardo Morales","Muy mala",0.264,0.299,0.23,0.346,0.269,0.233,0.207,0.226,0.265,0.297,0.282,0.211,0.301,0.264,0.39,0.161,0.145
"Gerardo Morales","No sabe",0.081,0.05,0.111,0.147,0.083,0.051,0.049,0.102,0.097,0.04,0.091,0.071,0.112,0.073,0.088,0.053,0.073
"Sergio Massa","Muy buena",0.079,0.072,0.085,0.075,0.077,0.071,0.099,0.105,0.077,0.056,0.075,0.071,0.066,0.088,0.14,0.043,0.057
"Sergio Massa","Buena",0.144,0.145,0.143,0.072,0.145,0.161,0.194,0.164,0.135,0.137,0.134,0.137,0.152,0.154,0.273,0.061,0.108
"Sergio Massa","Ni buena ni mala",0.208,0.174,0.241,0.235,0.223,0.186,0.176,0.239,0.21,0.175,0.198,0.234,0.253,0.199,0.308,0.106,0.258
"Sergio Massa","Mala",0.147,0.154,0.14,0.121,0.145,0.15,0.175,0.14,0.154,0.143,0.154,0.144,0.154,0.141,0.105,0.164,0.208
"Sergio Massa","Muy mala",0.404,0.444,0.366,0.467,0.393,0.423,0.338,0.313,0.413,0.483,0.425,0.377,0.353,0.405,0.16,0.617,0.36
"Sergio Massa","No sabe",0.018,0.011,0.025,0.03,0.017,0.009,0.018,0.039,0.011,0.006,0.014,0.037,0.022,0.013,0.014,0.009,0.009
"Daniel Scioli","Muy buena",0.076,0.076,0.076,0.06,0.069,0.085,0.098,0.115,0.062,0.058,0.073,0.067,0.056,0.086,0.12,0.044,0.073
"Daniel Scioli","Buena",0.152,0.152,0.151,0.061,0.167,0.162,0.2,0.186,0.135,0.14,0.138,0.135,0.191,0.165,0.311,0.062,0.05
"Daniel Scioli","Ni buena ni mala",0.191,0.173,0.209,0.234,0.201,0.164,0.161,0.199,0.213,0.155,0.193,0.225,0.221,0.172,0.277,0.101,0.233
"Daniel Scioli","Mala",0.155,0.153,0.156,0.145,0.143,0.161,0.18,0.158,0.161,0.142,0.142,0.193,0.095,0.158,0.089,0.189,0.232
"Daniel Scioli","Muy mala",0.409,0.438,0.382,0.473,0.404,0.421,0.339,0.32,0.41,0.497,0.435,0.361,0.412,0.406,0.183,0.597,0.407
"Daniel Scioli","No sabe",0.017,0.008,0.026,0.027,0.016,0.007,0.022,0.022,0.019,0.008,0.019,0.019,0.025,0.013,0.02,0.007,0.005
"Alberto Fernandez","Muy buena",0.076,0.051,0.101,0.095,0.086,0.051,0.07,0.133,0.061,0.043,0.077,0.065,0.086,0.08,0.16,0.024,0.026
"Alberto Fernandez","Buena",0.121,0.119,0.123,0.087,0.124,0.131,0.14,0.146,0.111,0.112,0.108,0.093,0.121,0.144,0.27,0.026,0.069
"Alberto Fernandez","Ni buena ni mala",0.142,0.126,0.157,0.128,0.164,0.122,0.135,0.151,0.149,0.122,0.147,0.162,0.126,0.131,0.253,0.043,0.156
"Alberto Fernandez","Mala",0.129,0.125,0.132,0.109,0.137,0.124,0.137,0.115,0.139,0.127,0.119,0.154,0.156,0.123,0.138,0.103,0.206
"Alberto Fernandez","Muy mala",0.522,0.572,0.474,0.559,0.482,0.567,0.508,0.441,0.529,0.591,0.543,0.51,0.508,0.51,0.17,0.799,0.531
"Alberto Fernandez","No sabe",0.01,0.007,0.013,0.022,0.007,0.005,0.01,0.014,0.011,0.005,0.006,0.016,0.003,0.012,0.009,0.005,0.012
