"var","categoria","Sergio Massa a presidente por Unión por la Patria.","Patricia Bullrich a presidenta por Juntos por el Cambio","Javier Milei a presidente por la Libertad Avanza","Los candidatos a presidente de la Izquierda","Juan Schiaretti a presidente por Hacemos por Nuestro Pais","En blanco","No sabe"
"INTENDENTE","Raul Othacehé a intendente por el frente vecinal crecer",0.122,0.244,0.092,0.021,0.056,0.086,0.016
"INTENDENTE","El candidato a intendente de la Izquierda",0.2,0.097,0.011,0.783,0.308,0.157,0
"INTENDENTE","En blanco",0.086,0.02,0.062,0,0,0.11,0.036
"INTENDENTE","No sabe",0.056,0.039,0.026,0.148,0.079,0,0.917
"CORTA_PRESIDENTE","Si",0.183,0.337,0.315,0.209,0.817,0.098,0.076
"CORTA_PRESIDENTE","No",0.817,0.663,0.685,0.791,0.183,0.902,0.924
"CORTA_GOBERNADOR","Si",0.337,0.505,0.395,0.351,0.912,0.691,0.061
"CORTA_GOBERNADOR","No",0.663,0.495,0.605,0.649,0.088,0.309,0.939
"CORTA_INTENDENTE","Si",0.633,0.704,0.521,0.272,0.846,0.779,0.107
"CORTA_INTENDENTE","No",0.367,0.296,0.479,0.728,0.154,0.221,0.893
