"var","categoria","Gustavo Menéndez a intendente por Unión por la Patria.","Zencich a intendente por Juntos por el Cambio","Eduardo Varela a intendente por la Libertad Avanza","Raul Othacehé a intendente por el frente vecinal crecer","El candidato a intendente de la Izquierda","En blanco","No sabe"
"P32","Ha aumentado ligeramente",0.336,0.024,0.244,0.135,0.17,0.2,0.31
"P32","Se mantiene igual",0.299,0.537,0.401,0.304,0.494,0.416,0.161
"P32","Ha disminuido ligeramente",0.102,0.193,0.185,0.11,0.119,0.113,0.029
"P32","Ha disminuido significativamente",0.11,0.193,0.163,0.447,0.083,0.035,0.494
"P33","No, ninguna dificultad",0.222,0.187,0.019,0.269,0.462,0.734,0.137
"P33","Alguna dificultad ocasional",0.646,0.448,0.575,0.215,0.188,0.168,0.542
"P33","Sí, dificultades frecuentes",0.132,0.365,0.406,0.516,0.35,0.098,0.321
"P34","Sí, absolutamente",0.744,0.27,0.201,0.541,0.726,0.765,0.362
"P34","Sí, en cierta medida",0.253,0.536,0.443,0.158,0.274,0.214,0.618
"P34","No, en absoluto",0.003,0.194,0.356,0.301,0,0.021,0.02
"P35","Reducir la inflación",0.226,0.408,0.222,0.416,0.324,0.21,0.627
"P35","Implementar reformas fiscales",0.098,0.233,0.119,0.06,0.011,0.019,0.007
"P35","Establecer políticas de control de precios",0.405,0.058,0.026,0.052,0.188,0.075,0.027
"P35","Reducir el gasto público",0.24,0.277,0.623,0.418,0.077,0.449,0.301
"P35","Estimular la inversión extranjera",0.031,0.024,0.01,0.009,0.255,0.032,0.038
"P35","Aumentar los subsidios a los servicios públicos",0,0,0,0.045,0.145,0.215,0
"P36","Muy positiva",0.123,0.063,0.189,0.089,0.144,0.198,0
"P36","Positiva",0.259,0.234,0.135,0.107,0.169,0.173,0
"P36","Neutral",0.217,0.336,0.19,0.343,0.37,0.598,0.207
"P36","Algo negativa",0.006,0.054,0.322,0.264,0,0.031,0.01
"P36","Negativa",0.093,0.205,0.026,0.032,0.178,0,0
"P36","No sabe",0.302,0.108,0.138,0.165,0.139,0,0.783
"P37","Muy positiva",0.432,0.47,0.386,0.469,0.387,0.35,0.299
"P37","Positiva",0.157,0.243,0.248,0.161,0.347,0.096,0.101
"P37","Neutral",0.162,0.148,0.233,0.03,0.167,0.523,0.129
"P37","Algo negativa",0.015,0.064,0.074,0.046,0.065,0.016,0.052
"P37","Negativa",0.01,0.075,0.054,0.269,0.005,0.015,0.034
"P37","No sabe",0.224,0,0.005,0.025,0.029,0,0.385
"P38","Muy positiva",0.238,0.049,0.273,0.093,0.143,0.359,0.26
"P38","Positiva",0.226,0.12,0.097,0.15,0.204,0.043,0.16
"P38","Neutral",0.345,0.389,0.304,0.618,0.416,0.158,0.163
"P38","Algo negativa",0.004,0.08,0.113,0.036,0.161,0.4,0.036
"P38","Negativa",0.036,0.119,0.059,0.066,0.005,0.015,0.271
"P38","No sabe",0.151,0.243,0.154,0.037,0.071,0.025,0.11
"P39","Muy positiva",0.505,0.393,0.458,0.269,0.257,0.458,0.39
"P39","Positiva",0.339,0.144,0.091,0.07,0.211,0.017,0.394
"P39","Neutral",0.074,0.3,0.283,0.54,0.358,0.525,0.157
"P39","Algo negativa",0.008,0.06,0.087,0.037,0.174,0,0
"P39","Negativa",0.039,0.092,0,0.074,0,0,0.018
"P39","No sabe",0.035,0.011,0.081,0.01,0,0,0.041
"P40","Muy positiva",0.528,0.379,0.271,0.29,0.509,0.423,0.138
"P40","Positiva",0.218,0.329,0.204,0.083,0.127,0.062,0.388
"P40","Neutral",0.068,0.155,0.459,0.421,0.113,0.498,0.065
"P40","Algo negativa",0.04,0.025,0,0.022,0,0.017,0.083
"P40","Negativa",0.123,0.112,0.058,0.141,0.006,0,0
"P40","No sabe",0.023,0,0.008,0.043,0.245,0,0.326
"P41","Lo votaría",0.626,0.048,0.021,0.235,0.243,0.319,0.064
"P41","Puede que lo vote",0.085,0.069,0.131,0.036,0.281,0.148,0.305
"P41","Nunca lo votaría",0.284,0.863,0.768,0.64,0.133,0.533,0.216
"P41","No sabe",0.005,0.02,0.08,0.089,0.343,0,0.415
"P42","Lo votaría",0.138,0.487,0.049,0.206,0.031,0.027,0.048
"P42","Puede que lo vote",0.04,0.179,0.303,0.107,0,0.161,0.084
"P42","Nunca lo votaría",0.762,0.32,0.548,0.589,0.633,0.794,0.453
"P42","No sabe",0.06,0.014,0.1,0.098,0.336,0.018,0.415
"P43","Lo votaría",0.11,0.227,0.71,0.363,0.031,0.017,0.098
"P43","Puede que lo vote",0.101,0.184,0.061,0.11,0,0.502,0.01
"P43","Nunca lo votaría",0.784,0.485,0.229,0.431,0.802,0.463,0.752
"P43","No sabe",0.005,0.104,0,0.096,0.167,0.018,0.14
"P44","Lo votaría",0.011,0.059,0.273,0.716,0.055,0,0.293
"P44","Puede que lo vote",0.051,0.187,0.114,0.076,0.227,0.697,0
"P44","Nunca lo votaría",0.804,0.73,0.538,0.123,0.587,0.303,0.216
"P44","No sabe",0.134,0.024,0.075,0.085,0.131,0,0.491
"P45","Si",0.283,0.52,0.452,0.115,0.533,0.733,0.663
"P45","No",0.717,0.48,0.548,0.885,0.467,0.267,0.337
"PRESIDENTE","Sergio Massa a presidente por Unión por la Patria.",0.484,0.313,0.128,0.371,0.512,0.529,0.168
"PRESIDENTE","Patricia Bullrich a presidenta por Juntos por el Cambio",0.183,0.246,0.098,0.348,0.116,0.059,0.055
"PRESIDENTE","Javier Milei a presidente por la Libertad Avanza",0.228,0.378,0.768,0.229,0.024,0.308,0.064
"PRESIDENTE","Los candidatos a presidente de la Izquierda",0.009,0,0,0.008,0.258,0,0.057
"PRESIDENTE","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.019,0.063,0,0.013,0.059,0,0.018
"PRESIDENTE","En blanco",0.067,0,0.006,0.02,0.031,0.052,0
"PRESIDENTE","No sabe",0.01,0,0,0.011,0,0.052,0.638
"GOBERNADOR","Axel Kicillof a gobernador por Unión por la Patria.",0.703,0.322,0.151,0.414,0.692,0.532,0.239
"GOBERNADOR","Néstor Grindetti a gobernador por Juntos por el Cambio",0.087,0.574,0.186,0.33,0,0.016,0.071
"GOBERNADOR","Carolina Piparo a gobernadora por la Libertad Avanza",0.189,0.084,0.63,0.188,0.081,0.008,0.021
"GOBERNADOR","El candidato a gobernador de la Izquierda",0.01,0,0,0.035,0.196,0.01,0
"GOBERNADOR","En blanco",0.006,0.004,0.006,0,0.031,0.044,0.017
"GOBERNADOR","No sabe",0.005,0.016,0.027,0.033,0,0.39,0.652
"INTENDENTE","Gustavo Menéndez a intendente por Unión por la Patria.",1,0,0,0,0,0,0
"INTENDENTE","Zencich a intendente por Juntos por el Cambio",0,1,0,0,0,0,0
"INTENDENTE","Eduardo Varela a intendente por la Libertad Avanza",0,0,1,0,0,0,0
"INTENDENTE","Raul Othacehé a intendente por el frente vecinal crecer",0,0,0,1,0,0,0
"INTENDENTE","El candidato a intendente de la Izquierda",0,0,0,0,1,0,0
"INTENDENTE","En blanco",0,0,0,0,0,1,0
"INTENDENTE","No sabe",0,0,0,0,0,0,1
"CORTA_PRESIDENTE","Si",0.291,0.486,0.087,0.31,0.318,0.046,0.106
"CORTA_PRESIDENTE","No",0.709,0.514,0.913,0.69,0.682,0.954,0.894
"CORTA_GOBERNADOR","Si",0.516,0.393,0.218,0.446,0.377,0.408,0.126
"CORTA_GOBERNADOR","No",0.484,0.607,0.782,0.554,0.623,0.592,0.874
"CORTA_INTENDENTE","Si",0.367,0.549,0.253,0.893,0.755,0.948,0.318
"CORTA_INTENDENTE","No",0.633,0.451,0.747,0.107,0.245,0.052,0.682
