"var","categoria","Sergio Massa a presidente, Axel Kicillof a gobernador y Gustavo Menéndez a intendente por Unión por la Patria.","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y David Zencich a intendente por Juntos por el Cambio","Javier Milei a presidente, Carolina Piparo a gobernadora  y Eduardo Varela a intendente por la Libertad Avanza","Raul Othacehé a intendente por el frente vecinal crecer","Los candidatos a presidente, gobernador e intendente de la Izquierda","Juan Schiaretti a presidente por Hacemos por Nuestro Pais","En blanco","No sabe"
"P29","No estaba enterado del tema",0.098,0.119,0.098,0.074,0.009,0.591,0,0.075
"P29","Un tema de la vida privada de él",0.17,0.052,0.05,0.091,0.038,0.053,0.455,0.068
"P29","Un hecho vergonzoso de exclusiva responsabilidad de él",0.47,0.074,0.1,0.257,0.204,0.079,0,0.158
"P29","Un hecho vergonzoso del cual también es responsable el gobernador Kicillof",0.101,0.438,0.3,0.301,0.09,0.256,0,0.26
"P29","Un hecho vergonzoso que muestran como son los dirigentes que apoyan a Sergio Massa",0.06,0.307,0.441,0.277,0.61,0.021,0.275,0.28
"P29","No sabe",0.101,0.01,0.011,0,0.049,0,0.27,0.159
"P30","Si",0.812,0.787,0.845,1,0.872,0.554,0.693,0.647
"P30","No",0.188,0.213,0.155,0,0.128,0.446,0.307,0.353
"P31","Sergio Massa",0.693,0.078,0.057,0.146,0.539,0.441,0,0.122
"P31","Patria Bullrich",0.021,0.553,0.043,0.437,0.05,0.21,0.114,0.129
"P31","Javier Milei",0.023,0.117,0.849,0.19,0.051,0,0.14,0.361
"P31","Myriam Bregman",0.233,0.168,0.032,0.21,0.36,0.009,0.154,0.357
"P31","Juan Schiaretti",0.03,0.084,0.019,0.017,0,0.34,0.592,0.031
"P32","Ha aumentado significativamente",0.197,0.072,0.024,0,0.051,0.585,0,0.01
"P32","Ha aumentado ligeramente",0.25,0.162,0.16,0.351,0.053,0.009,0.518,0.127
"P32","Se mantiene igual",0.333,0.243,0.3,0.314,0.125,0.111,0,0.308
"P32","Ha disminuido ligeramente",0.102,0.247,0.241,0.224,0.57,0,0.16,0.211
"P32","Ha disminuido significativamente",0.118,0.276,0.275,0.111,0.201,0.295,0.322,0.344
"P33","No, ninguna dificultad",0.353,0.208,0.109,0.355,0.282,0.031,0.04,0.063
"P33","Alguna dificultad ocasional",0.326,0.401,0.354,0.021,0.62,0.23,0.718,0.414
"P33","Sí, dificultades frecuentes",0.321,0.391,0.537,0.624,0.098,0.739,0.242,0.523
"P34","Sí, absolutamente",0.728,0.39,0.256,0.642,0.357,0.67,0.874,0.248
"P34","Sí, en cierta medida",0.244,0.325,0.286,0.228,0.643,0.122,0.064,0.588
"P34","No, en absoluto",0.028,0.285,0.458,0.13,0,0.208,0.062,0.164
"P35","Reducir la inflación",0.427,0.406,0.191,0.338,0.33,0.703,0.239,0.587
"P35","Implementar reformas fiscales",0.107,0.069,0.03,0.262,0,0.224,0,0.005
"P35","Establecer políticas de control de precios",0.314,0.054,0.1,0.083,0.167,0.012,0.169,0.129
"P35","Reducir el gasto público",0.054,0.415,0.671,0.285,0.092,0.046,0.592,0.182
"P35","Estimular la inversión extranjera",0.032,0.056,0.008,0,0,0.015,0,0.097
"P35","Aumentar los subsidios a los servicios públicos",0.066,0,0,0.032,0.411,0,0,0
"P36","Muy positiva",0.257,0.076,0.156,0.115,0.149,0.447,0.104,0.022
"P36","Positiva",0.241,0.133,0.152,0.377,0.141,0.213,0.487,0.089
"P36","Neutral",0.201,0.342,0.265,0.224,0.17,0.073,0.182,0.154
"P36","Algo negativa",0.03,0.15,0.166,0.055,0.085,0,0,0
"P36","Negativa",0.049,0.079,0.095,0,0,0.216,0.061,0.127
"P36","No sabe",0.222,0.22,0.166,0.229,0.455,0.051,0.166,0.608
"P37","Muy positiva",0.61,0.189,0.21,0.549,0.586,0.559,0,0.223
"P37","Positiva",0.213,0.238,0.154,0.224,0.224,0.197,0,0.302
"P37","Neutral",0.086,0.325,0.336,0.052,0.135,0.014,0.609,0.205
"P37","Algo negativa",0.016,0.11,0.094,0.031,0.02,0,0.078,0
"P37","Negativa",0.009,0.127,0.145,0.081,0,0.214,0,0.017
"P37","No sabe",0.066,0.011,0.061,0.063,0.035,0.016,0.313,0.253
"P38","Muy positiva",0.351,0.068,0.109,0.494,0.637,0.479,0,0.1
"P38","Positiva",0.298,0.118,0.14,0.233,0,0.151,0,0.387
"P38","Neutral",0.164,0.348,0.346,0.067,0.242,0.04,0.815,0.213
"P38","Algo negativa",0.054,0.127,0.205,0.037,0,0.037,0,0
"P38","Negativa",0.008,0.244,0.12,0.139,0.083,0.276,0,0.169
"P38","No sabe",0.125,0.095,0.08,0.03,0.038,0.017,0.185,0.131
"P39","Muy positiva",0.589,0.168,0.385,0.524,0.629,0.619,0.028,0.349
"P39","Positiva",0.218,0.134,0.291,0.248,0.197,0.046,0.559,0.284
"P39","Neutral",0.103,0.417,0.229,0.129,0.12,0.085,0.302,0.301
"P39","Algo negativa",0.037,0.07,0.056,0,0.019,0,0,0
"P39","Negativa",0.019,0.189,0.018,0.061,0,0.25,0.111,0
"P39","No sabe",0.034,0.022,0.021,0.038,0.035,0,0,0.066
"P40","Muy positiva",0.522,0.191,0.255,0.458,0.675,0.498,0.621,0.333
"P40","Positiva",0.268,0.235,0.167,0.309,0.141,0.138,0.077,0.054
"P40","Neutral",0.081,0.266,0.361,0.102,0.171,0.114,0.165,0.256
"P40","Algo negativa",0.033,0.031,0.101,0.033,0,0,0,0.058
"P40","Negativa",0.024,0.133,0.063,0.098,0.013,0.25,0,0.061
"P40","No sabe",0.072,0.144,0.053,0,0,0,0.137,0.238
"P41","Lo votaría",0.766,0.049,0.046,0.317,0.062,0,0,0.038
"P41","Puede que lo vote",0.097,0.078,0.014,0.07,0.15,0.08,0,0.243
"P41","Nunca lo votaría",0.035,0.833,0.925,0.402,0.775,0.873,0.863,0.295
"P41","No sabe",0.102,0.04,0.015,0.211,0.013,0.047,0.137,0.424
"P42","Lo votaría",0.023,0.773,0.058,0.139,0,0.011,0,0.06
"P42","Puede que lo vote",0.034,0.093,0.221,0,0.092,0.387,0.048,0.057
"P42","Nunca lo votaría",0.843,0.071,0.666,0.792,0.908,0.589,0.782,0.345
"P42","No sabe",0.1,0.063,0.055,0.069,0,0.013,0.17,0.538
"P43","Lo votaría",0.01,0.059,0.856,0.135,0.03,0,0,0.039
"P43","Puede que lo vote",0.022,0.15,0.048,0.102,0.092,0.138,0,0.315
"P43","Nunca lo votaría",0.922,0.734,0.091,0.763,0.878,0.849,0.83,0.348
"P43","No sabe",0.046,0.057,0.005,0,0,0.013,0.17,0.298
"P44","Lo votaría",0.079,0.177,0.154,0.567,0.081,0,0,0
"P44","Puede que lo vote",0.104,0.147,0.085,0.166,0.091,0.054,0,0.121
"P44","Nunca lo votaría",0.706,0.57,0.711,0.234,0.828,0.946,0.943,0.273
"P44","No sabe",0.111,0.106,0.05,0.033,0,0,0.057,0.606
"P45","Si",0.408,0.354,0.367,0.543,0.511,0.512,0,0.281
"P45","No",0.592,0.646,0.633,0.457,0.489,0.488,1,0.719
"PRESIDENTE","Sergio Massa a presidente por Unión por la Patria.",0.96,0.077,0.02,0.113,0.016,0.04,0.012,0.074
"PRESIDENTE","Patricia Bullrich a presidenta por Juntos por el Cambio",0.01,0.869,0.026,0.121,0.015,0.055,0.018,0.072
"PRESIDENTE","Javier Milei a presidente por la Libertad Avanza",0.025,0.036,0.954,0.078,0.049,0.218,0.039,0.042
"PRESIDENTE","Los candidatos a presidente de la Izquierda",0.003,0,0,0.041,0.914,0,0,0.052
"PRESIDENTE","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0,0.017,0,0.304,0.006,0.687,0.066,0.015
"PRESIDENTE","En blanco",0,0,0,0.269,0,0,0.826,0
"PRESIDENTE","No sabe",0.002,0.001,0,0.074,0,0,0.039,0.745
"GOBERNADOR","Axel Kicillof a gobernador por Unión por la Patria.",0.941,0.098,0.074,0.27,0.131,0.088,0.361,0.153
"GOBERNADOR","Néstor Grindetti a gobernador por Juntos por el Cambio",0.016,0.877,0.059,0.187,0,0.198,0.022,0.033
"GOBERNADOR","Carolina Piparo a gobernadora por la Libertad Avanza",0.04,0.012,0.839,0.009,0.052,0,0,0.057
"GOBERNADOR","El candidato a gobernador de la Izquierda",0.001,0.007,0.008,0.112,0.811,0.008,0,0.014
"GOBERNADOR","En blanco",0,0,0.001,0.268,0.006,0.593,0.509,0
"GOBERNADOR","No sabe",0.002,0.006,0.019,0.154,0,0.113,0.108,0.743
"INTENDENTE","Gustavo Menéndez a intendente por Unión por la Patria.",0.787,0.026,0.067,0.044,0.024,0.068,0.382,0.025
"INTENDENTE","Zencich a intendente por Juntos por el Cambio",0.03,0.788,0.034,0.113,0.064,0.227,0.016,0.059
"INTENDENTE","Eduardo Varela a intendente por la Libertad Avanza",0.017,0.027,0.816,0,0,0.044,0.022,0.008
"INTENDENTE","Raul Othacehé a intendente por el frente vecinal crecer",0.031,0.128,0.054,0.759,0,0.028,0,0.009
"INTENDENTE","El candidato a intendente de la Izquierda",0.058,0.01,0.001,0.064,0.912,0.009,0.124,0.125
"INTENDENTE","En blanco",0.048,0.008,0.017,0.02,0,0.592,0.406,0.008
"INTENDENTE","No sabe",0.029,0.013,0.011,0,0,0.032,0.05,0.766
"CORTA_PRESIDENTE","Si",0.054,0.14,0.049,0.957,0.11,0.329,0.416,0.351
"CORTA_PRESIDENTE","No",0.946,0.86,0.951,0.043,0.89,0.671,0.584,0.649
"CORTA_GOBERNADOR","Si",0.101,0.141,0.172,0.957,0.208,0.464,0.68,0.354
"CORTA_GOBERNADOR","No",0.899,0.859,0.828,0.043,0.792,0.536,0.32,0.646
"CORTA_INTENDENTE","Si",0.247,0.229,0.245,0.638,0.277,0.464,0.775,0.319
"CORTA_INTENDENTE","No",0.753,0.771,0.755,0.362,0.723,0.536,0.225,0.681
