"var","categoria","Sergio Massa a presidente, Axel Kicillof a gobernador y Gustavo Menéndez a intendente por Unión por la Patria.","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y David Zencich a intendente por Juntos por el Cambio","Javier Milei a presidente, Carolina Piparo a gobernadora  y Eduardo Varela a intendente por la Libertad Avanza","Raul Othacehé a intendente por el frente vecinal crecer","Los candidatos a presidente, gobernador e intendente de la Izquierda","Juan Schiaretti a presidente por Hacemos por Nuestro Pais","En blanco"
"P28","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.055,0.055,0.072,0.168,0.606,0,0.28
"P28","No sabe",0.112,0.034,0.057,0,0.03,0.01,0.146
"P29","No estaba enterado del tema",0.09,0.109,0.096,0.073,0.009,0.42,0.286
"P29","Un tema de la vida privada de él",0.155,0.047,0.069,0.089,0.037,0.038,0.306
"P29","Un hecho vergonzoso de exclusiva responsabilidad de él",0.444,0.097,0.097,0.252,0.202,0.056,0
"P29","Un hecho vergonzoso del cual también es responsable el gobernador Kicillof",0.135,0.408,0.292,0.294,0.089,0.192,0
"P29","Un hecho vergonzoso que muestran como son los dirigentes que apoyan a Sergio Massa",0.059,0.33,0.429,0.292,0.605,0.294,0.184
"P29","No sabe",0.117,0.009,0.017,0,0.058,0,0.224
"P30","Si",0.815,0.802,0.829,1,0.873,0.385,0.499
"P30","No",0.185,0.198,0.171,0,0.127,0.615,0.501
"P31","Sergio Massa",0.652,0.085,0.066,0.143,0.534,0.441,0
"P31","Patria Bullrich",0.031,0.524,0.04,0.428,0.049,0.21,0.075
"P31","Javier Milei",0.041,0.142,0.81,0.207,0.051,0,0.432
"P31","Myriam Bregman",0.243,0.173,0.066,0.205,0.357,0.009,0.102
"P31","Juan Schiaretti",0.033,0.076,0.018,0.017,0.009,0.34,0.391
"P32","Ha aumentado significativamente",0.184,0.066,0.025,0,0.051,0.585,0
"P32","Ha aumentado ligeramente",0.237,0.173,0.158,0.343,0.052,0.009,0.336
"P32","Se mantiene igual",0.326,0.223,0.31,0.308,0.124,0.111,0.35
"P32","Ha disminuido ligeramente",0.118,0.238,0.236,0.219,0.565,0,0.104
"P32","Ha disminuido significativamente",0.135,0.3,0.271,0.13,0.208,0.295,0.21
"P33","No, ninguna dificultad",0.329,0.204,0.109,0.346,0.279,0.031,0.026
"P33","Alguna dificultad ocasional",0.331,0.395,0.376,0.046,0.614,0.23,0.471
"P33","Sí, dificultades frecuentes",0.34,0.401,0.515,0.608,0.107,0.739,0.503
"P34","Sí, absolutamente",0.688,0.362,0.256,0.624,0.365,0.67,0.919
"P34","Sí, en cierta medida",0.264,0.379,0.304,0.25,0.635,0.122,0.041
"P34","No, en absoluto",0.048,0.259,0.44,0.126,0,0.208,0.04
"P35","Reducir la inflación",0.452,0.375,0.22,0.326,0.326,0.703,0.526
"P35","Implementar reformas fiscales",0.099,0.062,0.028,0.288,0,0.224,0
"P35","Establecer políticas de control de precios",0.3,0.049,0.117,0.081,0.165,0.012,0.105
"P35","Reducir el gasto público",0.058,0.428,0.628,0.275,0.091,0.046,0.369
"P35","Estimular la inversión extranjera",0.03,0.086,0.007,0,0.012,0.015,0
"P35","Aumentar los subsidios a los servicios públicos",0.061,0,0,0.03,0.406,0,0
"P36","Muy positiva",0.238,0.069,0.155,0.112,0.16,0.447,0.066
"P36","Positiva",0.225,0.144,0.147,0.397,0.139,0.213,0.31
"P36","Neutral",0.195,0.336,0.262,0.216,0.168,0.073,0.116
"P36","Algo negativa",0.028,0.136,0.16,0.053,0.084,0,0
"P36","Negativa",0.045,0.072,0.091,0,0,0.216,0.402
"P36","No sabe",0.269,0.243,0.185,0.222,0.449,0.051,0.106
"P37","Muy positiva",0.582,0.197,0.212,0.531,0.591,0.559,0
"P37","Positiva",0.202,0.24,0.171,0.217,0.221,0.197,0.385
"P37","Neutral",0.104,0.313,0.323,0.083,0.133,0.014,0.374
"P37","Algo negativa",0.014,0.1,0.09,0.03,0.02,0,0.048
"P37","Negativa",0.011,0.116,0.139,0.078,0,0.214,0
"P37","No sabe",0.087,0.034,0.065,0.061,0.035,0.016,0.193
"P38","Muy positiva",0.336,0.061,0.113,0.475,0.628,0.479,0
"P38","Positiva",0.31,0.147,0.151,0.262,0,0.151,0
"P38","Neutral",0.152,0.337,0.341,0.065,0.238,0.04,0.886
"P38","Algo negativa",0.05,0.116,0.197,0.036,0,0.037,0
"P38","Negativa",0.034,0.222,0.115,0.133,0.082,0.276,0
"P38","No sabe",0.118,0.117,0.083,0.029,0.052,0.017,0.114
"P39","Muy positiva",0.574,0.197,0.38,0.541,0.621,0.619,0.017
"P39","Positiva",0.237,0.123,0.295,0.239,0.194,0.046,0.336
"P39","Neutral",0.106,0.405,0.23,0.124,0.118,0.085,0.58
"P39","Algo negativa",0.034,0.064,0.054,0,0.019,0,0
"P39","Negativa",0.018,0.173,0.017,0.059,0,0.25,0.067
"P39","No sabe",0.031,0.038,0.024,0.037,0.048,0,0
"P40","Muy positiva",0.49,0.23,0.244,0.442,0.667,0.498,0.771
"P40","Positiva",0.252,0.215,0.169,0.299,0.139,0.138,0.046
"P40","Neutral",0.104,0.244,0.365,0.132,0.168,0.114,0.1
"P40","Algo negativa",0.03,0.05,0.097,0.032,0,0,0
"P40","Negativa",0.032,0.122,0.06,0.095,0.013,0.25,0
"P40","No sabe",0.092,0.139,0.065,0,0.013,0,0.083
"P41","Lo votaría",0.711,0.045,0.049,0.306,0.061,0,0
"P41","Puede que lo vote",0.104,0.116,0.023,0.068,0.148,0.08,0
"P41","Nunca lo votaría",0.063,0.781,0.9,0.423,0.765,0.873,0.522
"P41","No sabe",0.122,0.058,0.028,0.203,0.026,0.047,0.478
"P42","Lo votaría",0.022,0.72,0.064,0.134,0,0.011,0
"P42","Puede que lo vote",0.037,0.092,0.212,0,0.091,0.387,0.029
"P42","Nunca lo votaría",0.811,0.098,0.651,0.799,0.896,0.589,0.475
"P42","No sabe",0.13,0.09,0.073,0.067,0.013,0.013,0.496
"P43","Lo votaría",0.009,0.056,0.831,0.131,0.029,0,0
"P43","Puede que lo vote",0.067,0.137,0.049,0.132,0.091,0.138,0
"P43","Nunca lo votaría",0.879,0.724,0.098,0.737,0.866,0.849,0.504
"P43","No sabe",0.045,0.083,0.022,0,0.014,0.013,0.496
"P44","Lo votaría",0.073,0.162,0.148,0.548,0.08,0,0
"P44","Puede que lo vote",0.102,0.146,0.095,0.194,0.09,0.054,0
"P44","Nunca lo votaría",0.668,0.574,0.692,0.226,0.817,0.946,0.534
"P44","No sabe",0.157,0.118,0.065,0.032,0.013,0,0.466
"P45","Si",0.392,0.362,0.379,0.521,0.502,0.512,0
"P45","No",0.608,0.638,0.621,0.479,0.498,0.488,1
"PRESIDENTE_imputada","Sergio Massa a presidente por Unión por la Patria.",0.941,0.102,0.019,0.112,0.015,0.029,0.01
"PRESIDENTE_imputada","Patricia Bullrich a presidenta por Juntos por el Cambio",0.03,0.823,0.025,0.194,0.015,0.041,0.198
"PRESIDENTE_imputada","Javier Milei a presidente por la Libertad Avanza",0.024,0.04,0.94,0.087,0.049,0.161,0.031
"PRESIDENTE_imputada","Los candidatos a presidente de la Izquierda",0.004,0,0.016,0.04,0.915,0,0
"PRESIDENTE_imputada","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.001,0.035,0,0.301,0.006,0.769,0.052
"PRESIDENTE_imputada","En blanco",0,0,0,0.266,0,0,0.709
"GOBERNADOR_imputada","Axel Kicillof a gobernador por Unión por la Patria.",0.925,0.142,0.089,0.266,0.13,0.35,0.283
"GOBERNADOR_imputada","Néstor Grindetti a gobernador por Juntos por el Cambio",0.016,0.84,0.066,0.349,0,0.185,0.089
"GOBERNADOR_imputada","Carolina Piparo a gobernadora por la Libertad Avanza",0.038,0.012,0.815,0.009,0.051,0,0.188
"GOBERNADOR_imputada","El candidato a gobernador de la Izquierda",0.001,0.006,0.012,0.111,0.813,0.005,0
"GOBERNADOR_imputada","En blanco",0.02,0,0.018,0.265,0.006,0.46,0.44
"INTENDENTE_imputada","Gustavo Menéndez a intendente por Unión por la Patria.",0.797,0.027,0.093,0.044,0.023,0.061,0.301
"INTENDENTE_imputada","Zencich a intendente por Juntos por el Cambio",0.032,0.776,0.035,0.111,0.063,0.162,0.012
"INTENDENTE_imputada","Eduardo Varela a intendente por la Libertad Avanza",0.036,0.026,0.794,0.014,0,0.032,0.016
"INTENDENTE_imputada","Raul Othacehé a intendente por el frente vecinal crecer",0.03,0.119,0.056,0.748,0,0.03,0.011
"INTENDENTE_imputada","El candidato a intendente de la Izquierda",0.057,0.029,0.006,0.064,0.914,0.006,0.311
"INTENDENTE_imputada","En blanco",0.048,0.023,0.016,0.019,0,0.709,0.349
