"var","categoria","Oponerse totalmente y no concurrir a la convocatoria","Oponerse parcialmente y concurrir a la convocatoria","Apoyar la iniciativa del gobierno nacional y negociar otros temas en discusión","Apoyar totalmente la iniciativa del gobierno nacional","No sabe"
"P33","5",0.148,0.2,0.206,0.106,0.215
"P33","6",0.072,0.069,0.041,0.026,0.181
"P33","7",0.062,0.05,0.024,0.025,0.012
"P33","8",0.068,0.079,0.097,0.08,0.025
"P33","9-Pésimo",0.225,0.101,0.251,0.314,0.243
"P33","No sabe",0.052,0.057,0.041,0.062,0.205
"P34","1-Excelente",0.159,0.188,0.148,0.197,0.031
"P34","2",0.093,0.147,0.115,0.066,0.036
"P34","3",0.064,0.102,0.087,0.05,0.094
"P34","4",0.07,0.086,0.045,0.073,0.137
"P34","5",0.125,0.123,0.171,0.118,0.133
"P34","6",0.061,0.072,0.026,0.01,0.041
"P34","7",0.03,0.05,0.035,0.03,0.04
"P34","8",0.063,0.029,0.089,0.056,0.029
"P34","9-Pésimo",0.293,0.154,0.245,0.352,0.259
"P34","No sabe",0.042,0.049,0.039,0.048,0.2
"P35","1-Excelente",0.137,0.184,0.143,0.216,0.018
"P35","2",0.104,0.138,0.102,0.05,0.02
"P35","3",0.087,0.096,0.1,0.041,0.117
"P35","4",0.093,0.112,0.046,0.095,0.125
"P35","5",0.113,0.16,0.173,0.103,0.219
"P35","6",0.098,0.04,0.041,0.03,0.041
"P35","7",0.04,0.047,0.029,0.044,0.03
"P35","8",0.054,0.039,0.051,0.053,0.007
"P35","9-Pésimo",0.224,0.133,0.274,0.33,0.215
"P35","No sabe",0.05,0.051,0.041,0.038,0.208
"P36","1-Excelente",0.138,0.153,0.101,0.159,0.099
"P36","2",0.152,0.154,0.143,0.082,0.027
"P36","3",0.059,0.123,0.084,0.032,0.06
"P36","4",0.066,0.073,0.034,0.072,0.071
"P36","5",0.101,0.171,0.217,0.171,0.268
"P36","6",0.065,0.053,0.052,0.022,0.137
"P36","7",0.06,0.067,0.045,0.044,0.009
"P36","8",0.049,0.045,0.071,0.051,0.09
"P36","9-Pésimo",0.254,0.111,0.201,0.304,0.094
"P36","No sabe",0.056,0.05,0.052,0.063,0.145
"P37","Oponerse totalmente y elevar un recurso de amparo ante la corte",0.894,0.386,0.063,0.033,0.224
"P37","Oponerse y tratar de negociar con el gobierno nacional a cambio de apoyo legislativo en otros temas",0.082,0.496,0.287,0.06,0.056
"P37","Apoyar las iniciativas del gobierno nacional y así no tener problemas con la participación",0.002,0.037,0.471,0.234,0.092
"P37","Apoyar totalmente la iniciativa del gobierno nacional porque es lo que votó la mayoría del pueblo argentino",0.002,0.021,0.152,0.665,0.15
"P37","No sabe",0.02,0.06,0.027,0.008,0.478
"P39","Oponerse totalmente",0.822,0.27,0.03,0.016,0.076
"P39","Oponerse parcialmente",0.14,0.364,0.054,0.025,0.065
"P39","Apoyar parcialmente",0.026,0.303,0.633,0.155,0.256
"P39","Apoyar totalmente",0.001,0.012,0.274,0.77,0.005
"P39","No sabe",0.011,0.051,0.009,0.034,0.598
"P40","Inseguridad y narcotráfico",0.427,0.314,0.27,0.199,0.217
"P40","Altos impuestos y tarifas",0.125,0.284,0.188,0.096,0.248
"P40","Educación y estado de las escuelas",0.113,0.146,0.281,0.318,0.171
"P40","Inflación",0.172,0.153,0.128,0.204,0.129
"P40","Estado de la salud",0.104,0.049,0.06,0.085,0.102
"P40","Corrupción",0.024,0.017,0.061,0.089,0.074
"P40","Pobreza",0.015,0.022,0.002,0.005,0.04
"P40","Medio ambiente, incendios y contaminación",0.005,0.006,0,0,0
"P40","Falta de trabajo",0.011,0.003,0.003,0.004,0
"P40","No sabe",0.004,0.006,0.007,0,0.019
"P44","Muy buena",0.066,0.041,0.004,0.02,0
"P44","Buena",0.083,0.175,0.074,0.056,0.074
"P44","Ni buena ni mala",0.283,0.351,0.376,0.289,0.345
"P44","Mala",0.344,0.332,0.398,0.392,0.273
"P44","Muy mala",0.206,0.088,0.131,0.207,0.158
"P44","No sabe",0.018,0.013,0.017,0.036,0.15
"P45","Peor",0.75,0.464,0.522,0.425,0.536
"P45","Igual",0.127,0.392,0.287,0.334,0.214
"P45","Mejor",0.062,0.07,0.11,0.118,0.058
"P45","No sabe",0.061,0.074,0.081,0.123,0.192
"P46","Peor",0.771,0.472,0.347,0.372,0.285
"P46","Igual",0.162,0.348,0.311,0.269,0.403
"P46","Mejor",0.033,0.112,0.251,0.257,0.189
"P46","No sabe",0.034,0.068,0.091,0.102,0.123
"P47","Javier Milei",0.094,0.204,0.728,0.761,0.23
"P47","Los gobernadores",0.827,0.68,0.15,0.086,0.51
"P47","No sabe",0.079,0.116,0.122,0.153,0.26
"P48","Muy buena",0.141,0.092,0.086,0.069,0.214
"P48","Buena",0.279,0.32,0.153,0.072,0.19
"P48","Ni buena ni mala",0.241,0.407,0.298,0.175,0.293
"P48","Mala",0.197,0.141,0.298,0.336,0.095
"P48","Muy mala",0.132,0.033,0.164,0.322,0.147
"P48","No sabe",0.01,0.007,0.001,0.026,0.061
"P50","Muy buena",0.262,0.071,0.039,0.034,0.06
"P50","Buena",0.263,0.261,0.089,0.042,0.099
"P50","Ni buena ni mala",0.253,0.377,0.246,0.167,0.533
"P50","Mala",0.11,0.234,0.379,0.308,0.014
"P50","Muy mala",0.084,0.039,0.229,0.382,0.11
"P50","No sabe",0.028,0.018,0.018,0.067,0.184
"P51","Muy buena",0.053,0.083,0.157,0.204,0.162
"P51","Buena",0.096,0.223,0.22,0.219,0.093
"P51","Ni buena ni mala",0.31,0.379,0.365,0.234,0.266
"P51","Mala",0.244,0.155,0.161,0.189,0.091
"P51","Muy mala",0.251,0.113,0.056,0.118,0.062
"P51","No sabe",0.046,0.047,0.041,0.036,0.326
"P54","Muy buena",0.459,0.156,0.015,0.084,0.294
"P54","Buena",0.218,0.214,0.018,0.065,0.021
"P54","Ni buena ni mala",0.138,0.168,0.091,0.011,0.183
"P54","Mala",0.088,0.23,0.309,0.14,0.237
"P54","Muy mala",0.097,0.201,0.563,0.689,0.181
"P54","No sabe",0,0.031,0.004,0.011,0.084
"P55","Muy buena",0.036,0.069,0.101,0.188,0.07
"P55","Buena",0.065,0.132,0.254,0.27,0.051
"P55","Ni buena ni mala",0.061,0.157,0.261,0.25,0.233
"P55","Mala",0.24,0.334,0.252,0.157,0.334
"P55","Muy mala",0.594,0.298,0.131,0.128,0.285
"P55","No sabe",0.004,0.01,0.001,0.007,0.027
"P56","Muy buena",0.198,0.093,0.01,0.018,0.223
"P56","Buena",0.283,0.181,0.036,0.079,0.12
"P56","Ni buena ni mala",0.248,0.295,0.109,0.084,0.237
"P56","Mala",0.128,0.225,0.26,0.134,0.065
"P56","Muy mala",0.137,0.204,0.565,0.674,0.302
"P56","No sabe",0.006,0.002,0.02,0.011,0.053
"P57","Muy buena",0.485,0.219,0.008,0.039,0.104
"P57","Buena",0.235,0.145,0.026,0.039,0.02
"P57","Ni buena ni mala",0.097,0.185,0.075,0.068,0.188
"P57","Mala",0.072,0.2,0.284,0.168,0.238
"P57","Muy mala",0.089,0.234,0.591,0.67,0.371
"P57","No sabe",0.022,0.017,0.016,0.016,0.079
"P58","Muy buena",0.042,0.161,0.454,0.627,0.247
"P58","Buena",0.04,0.137,0.262,0.174,0.078
"P58","Ni buena ni mala",0.042,0.099,0.152,0.06,0.315
"P58","Mala",0.188,0.211,0.053,0.046,0.099
"P58","Muy mala",0.674,0.389,0.072,0.087,0.213
"P58","No sabe",0.014,0.003,0.007,0.006,0.048
"P59","Muy buena",0.019,0.142,0.41,0.502,0.009
"P59","Buena",0.044,0.224,0.335,0.319,0.239
"P59","Ni buena ni mala",0.039,0.17,0.151,0.065,0.412
"P59","Mala",0.166,0.113,0.064,0.057,0.019
"P59","Muy mala",0.73,0.351,0.033,0.051,0.277
"P59","No sabe",0.002,0,0.007,0.006,0.044
"P60","Muy buena",0.026,0.17,0.581,0.645,0.16
"P60","Buena",0.043,0.206,0.217,0.192,0.22
"P60","Ni buena ni mala",0.09,0.224,0.132,0.061,0.217
"P60","Mala",0.159,0.103,0.043,0.035,0.201
"P60","Muy mala",0.665,0.276,0.02,0.042,0.126
"P60","No sabe",0.017,0.021,0.007,0.025,0.076
"P61","Muy buena",0.032,0.09,0.125,0.124,0.007
"P61","Buena",0.071,0.162,0.303,0.238,0.13
"P61","Ni buena ni mala",0.312,0.425,0.466,0.433,0.414
"P61","Mala",0.199,0.16,0.057,0.092,0.16
"P61","Muy mala",0.34,0.124,0.03,0.085,0.071
"P61","No sabe",0.046,0.039,0.019,0.028,0.218
