"var","categoria","El anterior gobierno de Arabela Carreras","El actual gobierno de Alberto Weretilneck","No sabe"
"P35","9-Pésimo",0.323,0.362,0.135
"P35","No sabe",0.037,0.033,0.051
"P36","1-Excelente",0.117,0.142,0.044
"P36","2",0.091,0.13,0.173
"P36","3",0.066,0.05,0.033
"P36","4",0.074,0.043,0.045
"P36","5",0.207,0.115,0.26
"P36","6",0.031,0.03,0.045
"P36","7",0.025,0.044,0.072
"P36","8",0.063,0.053,0.139
"P36","9-Pésimo",0.279,0.356,0.048
"P36","No sabe",0.047,0.037,0.141
"P37","Oponerse totalmente y elevar un recurso de amparo ante la corte",0.311,0.224,0.21
"P37","Oponerse y tratar de negociar con el gobierno nacional a cambio de apoyo legislativo en otros temas",0.244,0.211,0.395
"P37","Apoyar las iniciativas del gobierno nacional y así no tener problemas con la participación",0.196,0.261,0.212
"P37","Apoyar totalmente la iniciativa del gobierno nacional porque es lo que votó la mayoría del pueblo argentino",0.217,0.283,0.1
"P37","No sabe",0.032,0.021,0.083
"P38","Oponerse totalmente y no concurrir a la convocatoria",0.267,0.222,0.292
"P38","Oponerse parcialmente y concurrir a la convocatoria",0.157,0.15,0.277
"P38","Apoyar la iniciativa del gobierno nacional y negociar otros temas en discusión",0.337,0.314,0.253
"P38","Apoyar totalmente la iniciativa del gobierno nacional",0.192,0.285,0.132
"P38","No sabe",0.047,0.029,0.046
"P39","Oponerse totalmente",0.252,0.217,0.24
"P39","Oponerse parcialmente",0.15,0.083,0.23
"P39","Apoyar parcialmente",0.283,0.311,0.319
"P39","Apoyar totalmente",0.276,0.341,0.198
"P39","No sabe",0.039,0.048,0.013
"P40","Inseguridad y narcotráfico",0.231,0.319,0.24
"P40","Altos impuestos y tarifas",0.179,0.139,0.261
"P40","Educación y estado de las escuelas",0.278,0.188,0.275
"P40","Inflación",0.165,0.176,0.114
"P40","Estado de la salud",0.102,0.098,0.07
"P40","Corrupción",0.037,0.075,0.018
"P40","Pobreza",0.003,0.004,0.008
"P40","Medio ambiente, incendios y contaminación",0,0,0.011
"P40","Falta de trabajo",0.005,0.001,0.003
"P40","No sabe",0,0,0
"P44","Muy buena",0.011,0.031,0.002
"P44","Buena",0.048,0.081,0.183
"P44","Ni buena ni mala",0.351,0.202,0.4
"P44","Mala",0.432,0.423,0.256
"P44","Muy mala",0.122,0.25,0.131
"P44","No sabe",0.036,0.013,0.028
"P45","Peor",0.474,0.598,0.514
"P45","Igual",0.332,0.248,0.338
"P45","Mejor",0.119,0.054,0.038
"P45","No sabe",0.075,0.1,0.11
"P46","Peor",0.387,0.532,0.39
"P46","Igual",0.276,0.273,0.317
"P46","Mejor",0.256,0.14,0.183
"P46","No sabe",0.081,0.055,0.11
"P47","Javier Milei",0.528,0.596,0.292
"P47","Los gobernadores",0.396,0.297,0.506
"P47","No sabe",0.076,0.107,0.202
"P48","Muy buena",0.092,0.044,0.03
"P48","Buena",0.183,0.117,0.31
"P48","Ni buena ni mala",0.301,0.172,0.344
"P48","Mala",0.34,0.34,0.173
"P48","Muy mala",0.082,0.326,0.075
"P48","No sabe",0.002,0.001,0.068
"P50","Muy buena",0.07,0.084,0.141
"P50","Buena",0.145,0.161,0.141
"P50","Ni buena ni mala",0.267,0.193,0.418
"P50","Mala",0.359,0.276,0.143
"P50","Muy mala",0.149,0.253,0.087
"P50","No sabe",0.01,0.033,0.07
"P51","Muy buena",0.141,0.165,0.108
"P51","Buena",0.149,0.22,0.155
"P51","Ni buena ni mala",0.338,0.255,0.439
"P51","Mala",0.221,0.16,0.082
"P51","Muy mala",0.102,0.163,0.168
"P51","No sabe",0.049,0.037,0.048
"P54","Muy buena",0.158,0.091,0.195
"P54","Buena",0.116,0.139,0.072
"P54","Ni buena ni mala",0.071,0.1,0.136
"P54","Mala",0.214,0.211,0.217
"P54","Muy mala",0.436,0.448,0.368
"P54","No sabe",0.005,0.011,0.012
"P55","Muy buena",0.068,0.139,0.062
"P55","Buena",0.237,0.18,0.165
"P55","Ni buena ni mala",0.182,0.184,0.306
"P55","Mala",0.253,0.229,0.184
"P55","Muy mala",0.259,0.265,0.28
"P55","No sabe",0.001,0.003,0.003
"P56","Muy buena",0.062,0.06,0.107
"P56","Buena",0.128,0.143,0.225
"P56","Ni buena ni mala",0.15,0.102,0.149
"P56","Mala",0.195,0.193,0.175
"P56","Muy mala",0.443,0.499,0.336
"P56","No sabe",0.022,0.003,0.008
"P57","Muy buena",0.166,0.115,0.121
"P57","Buena",0.121,0.104,0.186
"P57","Ni buena ni mala",0.08,0.052,0.099
"P57","Mala",0.224,0.221,0.134
"P57","Muy mala",0.406,0.498,0.394
"P57","No sabe",0.003,0.01,0.066
"P58","Muy buena",0.359,0.416,0.311
"P58","Buena",0.201,0.144,0.186
"P58","Ni buena ni mala",0.069,0.101,0.072
"P58","Mala",0.105,0.103,0.094
"P58","Muy mala",0.262,0.23,0.33
"P58","No sabe",0.004,0.006,0.007
"P59","Muy buena",0.26,0.345,0.16
"P59","Buena",0.271,0.241,0.343
"P59","Ni buena ni mala",0.12,0.103,0.081
"P59","Mala",0.093,0.055,0.086
"P59","Muy mala",0.252,0.253,0.33
"P59","No sabe",0.004,0.003,0
"P60","Muy buena",0.419,0.467,0.228
"P60","Buena",0.155,0.17,0.253
"P60","Ni buena ni mala",0.096,0.115,0.179
"P60","Mala",0.083,0.058,0.052
"P60","Muy mala",0.231,0.172,0.265
"P60","No sabe",0.016,0.018,0.023
"P61","Muy buena",0.044,0.165,0.015
"P61","Buena",0.212,0.196,0.344
"P61","Ni buena ni mala",0.45,0.391,0.29
"P61","Mala",0.154,0.117,0.114
"P61","Muy mala",0.102,0.111,0.102
"P61","No sabe",0.038,0.02,0.135
