"var","categoria","Javier Milei","Los gobernadores","No sabe"
"P31","No tengo cable ni internet",0.168,0.188,0.275
"P31","Si tuve",0.555,0.572,0.509
"P31","No tuve",0.277,0.24,0.216
"P32","Reclamando directamente a la empresa",0.272,0.283,0.31
"P32","Reclamando en el Enacom porque la empresa nunca lo resolvió",0.328,0.378,0.404
"P32","Nunca se pudo resolver",0.4,0.339,0.286
"P33","1-Excelente",0.192,0.138,0.116
"P33","2",0.095,0.12,0.09
"P33","3",0.065,0.045,0.052
"P33","4",0.037,0.075,0.031
"P33","5",0.134,0.198,0.21
"P33","6",0.032,0.073,0.047
"P33","7",0.026,0.057,0.04
"P33","8",0.086,0.075,0.067
"P33","9-Pésimo",0.292,0.164,0.223
"P33","No sabe",0.041,0.055,0.124
"P34","1-Excelente",0.2,0.135,0.157
"P34","2",0.096,0.104,0.093
"P34","3",0.07,0.089,0.052
"P34","4",0.049,0.092,0.045
"P34","5",0.113,0.151,0.149
"P34","6",0.017,0.054,0.098
"P34","7",0.037,0.035,0.034
"P34","8",0.064,0.059,0.068
"P34","9-Pésimo",0.311,0.235,0.213
"P34","No sabe",0.043,0.046,0.091
"P35","1-Excelente",0.195,0.132,0.097
"P35","2",0.074,0.112,0.124
"P35","3",0.082,0.092,0.08
"P35","4",0.055,0.102,0.122
"P35","5",0.13,0.157,0.147
"P35","6",0.042,0.066,0.068
"P35","7",0.036,0.045,0.027
"P35","8",0.039,0.053,0.03
"P35","9-Pésimo",0.309,0.187,0.22
"P35","No sabe",0.038,0.054,0.085
"P36","1-Excelente",0.154,0.126,0.093
"P36","2",0.113,0.143,0.13
"P36","3",0.068,0.078,0.077
"P36","4",0.042,0.083,0.053
"P36","5",0.159,0.153,0.226
"P36","6",0.037,0.062,0.041
"P36","7",0.038,0.064,0.055
"P36","8",0.061,0.057,0.044
"P36","9-Pésimo",0.266,0.188,0.184
"P36","No sabe",0.062,0.046,0.097
"P37","Oponerse totalmente y elevar un recurso de amparo ante la corte",0.107,0.704,0.246
"P37","Oponerse y tratar de negociar con el gobierno nacional a cambio de apoyo legislativo en otros temas",0.209,0.186,0.259
"P37","Apoyar las iniciativas del gobierno nacional y así no tener problemas con la participación",0.357,0.027,0.141
"P37","Apoyar totalmente la iniciativa del gobierno nacional porque es lo que votó la mayoría del pueblo argentino",0.317,0.033,0.182
"P37","No sabe",0.01,0.05,0.172
"P38","Oponerse totalmente y no concurrir a la convocatoria",0.086,0.593,0.238
"P38","Oponerse parcialmente y concurrir a la convocatoria",0.098,0.258,0.186
"P38","Apoyar la iniciativa del gobierno nacional y negociar otros temas en discusión",0.455,0.073,0.254
"P38","Apoyar totalmente la iniciativa del gobierno nacional",0.334,0.03,0.222
"P38","No sabe",0.027,0.046,0.1
"P39","Oponerse totalmente",0.09,0.617,0.224
"P39","Oponerse parcialmente",0.045,0.19,0.175
"P39","Apoyar parcialmente",0.387,0.122,0.41
"P39","Apoyar totalmente",0.457,0.023,0.095
"P39","No sabe",0.021,0.048,0.096
"P40","Inseguridad y narcotráfico",0.294,0.358,0.253
"P40","Altos impuestos y tarifas",0.176,0.168,0.165
"P40","Educación y estado de las escuelas",0.216,0.157,0.308
"P40","Inflación",0.155,0.171,0.133
"P40","Estado de la salud",0.081,0.089,0.025
"P40","Corrupción",0.07,0.021,0.064
"P40","Pobreza",0.005,0.019,0.015
"P40","Medio ambiente, incendios y contaminación",0,0.006,0
"P40","Falta de trabajo",0.003,0.009,0.003
"P40","No sabe",0,0.002,0.034
"P44","Muy buena",0.051,0.027,0
"P44","Buena",0.07,0.11,0.102
"P44","Ni buena ni mala",0.289,0.327,0.393
"P44","Mala",0.393,0.36,0.295
"P44","Muy mala",0.174,0.149,0.179
"P44","No sabe",0.023,0.027,0.031
"P45","Peor",0.5,0.656,0.525
"P45","Igual",0.331,0.197,0.236
"P45","Mejor",0.072,0.084,0.12
"P45","No sabe",0.097,0.063,0.119
"P46","Peor",0.402,0.65,0.389
"P46","Igual",0.285,0.244,0.26
"P46","Mejor",0.239,0.057,0.217
"P46","No sabe",0.074,0.049,0.134
"P48","Muy buena",0.093,0.129,0.079
"P48","Buena",0.107,0.312,0.18
"P48","Ni buena ni mala",0.232,0.289,0.374
"P48","Mala",0.324,0.171,0.172
"P48","Muy mala",0.232,0.095,0.148
"P48","No sabe",0.012,0.004,0.047
"P50","Muy buena",0.069,0.17,0.113
"P50","Buena",0.07,0.279,0.09
"P50","Ni buena ni mala",0.204,0.317,0.308
"P50","Mala",0.357,0.128,0.217
"P50","Muy mala",0.268,0.074,0.19
"P50","No sabe",0.032,0.032,0.082
"P51","Muy buena",0.198,0.053,0.097
"P51","Buena",0.224,0.112,0.238
"P51","Ni buena ni mala",0.266,0.376,0.28
"P51","Mala",0.192,0.209,0.112
"P51","Muy mala",0.087,0.192,0.15
"P51","No sabe",0.033,0.058,0.123
"P54","Muy buena",0.057,0.36,0.193
"P54","Buena",0.051,0.212,0.079
"P54","Ni buena ni mala",0.046,0.167,0.106
"P54","Mala",0.246,0.124,0.226
"P54","Muy mala",0.595,0.131,0.332
"P54","No sabe",0.005,0.006,0.064
"P55","Muy buena",0.155,0.033,0.076
"P55","Buena",0.262,0.073,0.169
"P55","Ni buena ni mala",0.247,0.085,0.253
"P55","Mala",0.177,0.305,0.267
"P55","Muy mala",0.159,0.498,0.211
"P55","No sabe",0,0.006,0.024
"P56","Muy buena",0.039,0.154,0.097
"P56","Buena",0.051,0.262,0.107
"P56","Ni buena ni mala",0.071,0.282,0.238
"P56","Mala",0.233,0.133,0.168
"P56","Muy mala",0.595,0.163,0.35
"P56","No sabe",0.011,0.006,0.04
"P57","Muy buena",0.068,0.388,0.065
"P57","Buena",0.032,0.206,0.08
"P57","Ni buena ni mala",0.049,0.136,0.176
"P57","Mala",0.242,0.099,0.245
"P57","Muy mala",0.601,0.148,0.382
"P57","No sabe",0.008,0.023,0.052
"P58","Muy buena",0.579,0.066,0.145
"P58","Buena",0.21,0.065,0.196
"P58","Ni buena ni mala",0.083,0.08,0.194
"P58","Mala",0.052,0.195,0.118
"P58","Muy mala",0.075,0.591,0.275
"P58","No sabe",0.001,0.003,0.072
"P59","Muy buena",0.456,0.054,0.142
"P59","Buena",0.326,0.093,0.269
"P59","Ni buena ni mala",0.109,0.106,0.141
"P59","Mala",0.046,0.152,0.113
"P59","Muy mala",0.063,0.593,0.301
"P59","No sabe",0,0.002,0.034
"P60","Muy buena",0.631,0.074,0.162
"P60","Buena",0.194,0.104,0.19
"P60","Ni buena ni mala",0.096,0.127,0.215
"P60","Mala",0.03,0.153,0.116
"P60","Muy mala",0.048,0.521,0.241
"P60","No sabe",0.001,0.021,0.076
"P61","Muy buena",0.139,0.042,0.046
"P61","Buena",0.26,0.106,0.192
"P61","Ni buena ni mala",0.456,0.361,0.343
"P61","Mala",0.086,0.185,0.106
"P61","Muy mala",0.052,0.253,0.199
"P61","No sabe",0.007,0.053,0.114
