"var","categoria","Reclamando directamente a la empresa","Reclamando en el Enacom porque la empresa nunca lo resolvió","Nunca se pudo resolver"
"P33","5",0.179,0.166,0.15
"P33","6",0.045,0.04,0.1
"P33","7",0.048,0.058,0.027
"P33","8",0.06,0.067,0.097
"P33","9-Pésimo",0.229,0.307,0.183
"P33","No sabe",0.056,0.038,0.033
"P34","1-Excelente",0.177,0.116,0.178
"P34","2",0.092,0.12,0.126
"P34","3",0.115,0.06,0.061
"P34","4",0.04,0.076,0.099
"P34","5",0.127,0.135,0.109
"P34","6",0.032,0.056,0.045
"P34","7",0.06,0.037,0.029
"P34","8",0.06,0.057,0.09
"P34","9-Pésimo",0.237,0.31,0.224
"P34","No sabe",0.06,0.033,0.039
"P35","1-Excelente",0.156,0.081,0.217
"P35","2",0.057,0.134,0.095
"P35","3",0.1,0.081,0.075
"P35","4",0.097,0.064,0.069
"P35","5",0.141,0.171,0.13
"P35","6",0.053,0.071,0.057
"P35","7",0.054,0.034,0.058
"P35","8",0.034,0.044,0.054
"P35","9-Pésimo",0.262,0.291,0.198
"P35","No sabe",0.046,0.029,0.047
"P36","1-Excelente",0.149,0.118,0.136
"P36","2",0.105,0.146,0.119
"P36","3",0.096,0.059,0.073
"P36","4",0.033,0.057,0.062
"P36","5",0.148,0.162,0.162
"P36","6",0.066,0.048,0.062
"P36","7",0.054,0.045,0.073
"P36","8",0.054,0.064,0.051
"P36","9-Pésimo",0.219,0.269,0.215
"P36","No sabe",0.076,0.032,0.047
"P37","Oponerse totalmente y elevar un recurso de amparo ante la corte",0.441,0.461,0.382
"P37","Oponerse y tratar de negociar con el gobierno nacional a cambio de apoyo legislativo en otros temas",0.179,0.141,0.194
"P37","Apoyar las iniciativas del gobierno nacional y así no tener problemas con la participación",0.185,0.156,0.204
"P37","Apoyar totalmente la iniciativa del gobierno nacional porque es lo que votó la mayoría del pueblo argentino",0.169,0.17,0.155
"P37","No sabe",0.026,0.072,0.065
"P38","Oponerse totalmente y no concurrir a la convocatoria",0.361,0.369,0.302
"P38","Oponerse parcialmente y concurrir a la convocatoria",0.181,0.161,0.198
"P38","Apoyar la iniciativa del gobierno nacional y negociar otros temas en discusión",0.247,0.232,0.259
"P38","Apoyar totalmente la iniciativa del gobierno nacional",0.181,0.143,0.195
"P38","No sabe",0.03,0.095,0.046
"P39","Oponerse totalmente",0.345,0.374,0.319
"P39","Oponerse parcialmente",0.127,0.121,0.127
"P39","Apoyar parcialmente",0.318,0.269,0.282
"P39","Apoyar totalmente",0.191,0.16,0.196
"P39","No sabe",0.019,0.076,0.076
"P40","Inseguridad y narcotráfico",0.287,0.309,0.334
"P40","Altos impuestos y tarifas",0.137,0.189,0.173
"P40","Educación y estado de las escuelas",0.222,0.175,0.216
"P40","Inflación",0.19,0.162,0.123
"P40","Estado de la salud",0.087,0.098,0.077
"P40","Corrupción",0.049,0.041,0.048
"P40","Pobreza",0.005,0.016,0.018
"P40","Medio ambiente, incendios y contaminación",0,0,0.007
"P40","Falta de trabajo",0.012,0.005,0.004
"P40","No sabe",0.011,0.005,0
"P44","Muy buena",0.018,0.023,0.036
"P44","Buena",0.067,0.093,0.088
"P44","Ni buena ni mala",0.384,0.329,0.321
"P44","Mala",0.373,0.34,0.332
"P44","Muy mala",0.141,0.187,0.177
"P44","No sabe",0.017,0.028,0.046
"P45","Peor",0.6,0.607,0.542
"P45","Igual",0.212,0.255,0.299
"P45","Mejor",0.097,0.06,0.109
"P45","No sabe",0.091,0.078,0.05
"P46","Peor",0.559,0.556,0.5
"P46","Igual",0.248,0.283,0.245
"P46","Mejor",0.122,0.106,0.172
"P46","No sabe",0.071,0.055,0.083
"P47","Javier Milei",0.364,0.343,0.424
"P47","Los gobernadores",0.516,0.536,0.489
"P47","No sabe",0.12,0.121,0.087
"P48","Muy buena",0.097,0.102,0.116
"P48","Buena",0.217,0.227,0.206
"P48","Ni buena ni mala",0.274,0.24,0.284
"P48","Mala",0.248,0.254,0.269
"P48","Muy mala",0.155,0.167,0.122
"P48","No sabe",0.009,0.01,0.003
"P50","Muy buena",0.123,0.132,0.121
"P50","Buena",0.167,0.235,0.147
"P50","Ni buena ni mala",0.263,0.206,0.316
"P50","Mala",0.243,0.18,0.285
"P50","Muy mala",0.172,0.201,0.106
"P50","No sabe",0.032,0.046,0.025
"P51","Muy buena",0.136,0.104,0.137
"P51","Buena",0.131,0.204,0.178
"P51","Ni buena ni mala",0.344,0.275,0.333
"P51","Mala",0.172,0.199,0.196
"P51","Muy mala",0.157,0.167,0.134
"P51","No sabe",0.06,0.051,0.022
"P54","Muy buena",0.198,0.306,0.189
"P54","Buena",0.154,0.127,0.111
"P54","Ni buena ni mala",0.132,0.088,0.125
"P54","Mala",0.191,0.156,0.254
"P54","Muy mala",0.312,0.32,0.303
"P54","No sabe",0.013,0.003,0.018
"P55","Muy buena",0.054,0.087,0.093
"P55","Buena",0.179,0.155,0.152
"P55","Ni buena ni mala",0.159,0.143,0.155
"P55","Mala",0.261,0.233,0.288
"P55","Muy mala",0.336,0.38,0.311
"P55","No sabe",0.011,0.002,0.001
"P56","Muy buena",0.089,0.155,0.07
"P56","Buena",0.149,0.144,0.167
"P56","Ni buena ni mala",0.223,0.159,0.231
"P56","Mala",0.181,0.221,0.165
"P56","Muy mala",0.329,0.321,0.367
"P56","No sabe",0.029,0,0
"P57","Muy buena",0.217,0.313,0.201
"P57","Buena",0.118,0.101,0.114
"P57","Ni buena ni mala",0.11,0.109,0.118
"P57","Mala",0.163,0.143,0.221
"P57","Muy mala",0.358,0.327,0.336
"P57","No sabe",0.034,0.007,0.01
"P58","Muy buena",0.307,0.277,0.273
"P58","Buena",0.09,0.121,0.141
"P58","Ni buena ni mala",0.113,0.052,0.114
"P58","Mala",0.139,0.137,0.141
"P58","Muy mala",0.333,0.394,0.328
"P58","No sabe",0.018,0.019,0.003
"P59","Muy buena",0.204,0.185,0.25
"P59","Buena",0.173,0.225,0.232
"P59","Ni buena ni mala",0.121,0.116,0.108
"P59","Mala",0.143,0.068,0.097
"P59","Muy mala",0.343,0.406,0.31
"P59","No sabe",0.016,0,0.003
"P60","Muy buena",0.278,0.314,0.332
"P60","Buena",0.117,0.125,0.206
"P60","Ni buena ni mala",0.148,0.091,0.093
"P60","Mala",0.095,0.102,0.094
"P60","Muy mala",0.345,0.362,0.255
"P60","No sabe",0.017,0.006,0.02
"P61","Muy buena",0.05,0.078,0.121
"P61","Buena",0.192,0.17,0.178
"P61","Ni buena ni mala",0.394,0.394,0.425
"P61","Mala",0.134,0.16,0.116
"P61","Muy mala",0.184,0.17,0.132
"P61","No sabe",0.046,0.028,0.028
