"var","categoria","Gobierno nacional","Gobierno provincial","No sabe"
"P36","3",0.077,0.057,0.143
"P36","4",0.096,0.046,0.017
"P36","5",0.115,0.173,0.181
"P36","6",0.072,0.033,0.078
"P36","7",0.055,0.044,0.041
"P36","8",0.051,0.067,0.037
"P36","9-Pésimo",0.172,0.283,0.115
"P36","No sabe",0.044,0.054,0.134
"P37","Oponerse totalmente y elevar un recurso de amparo ante la corte",0.801,0.215,0.327
"P37","Oponerse y tratar de negociar con el gobierno nacional a cambio de apoyo legislativo en otros temas",0.117,0.248,0.257
"P37","Apoyar las iniciativas del gobierno nacional y así no tener problemas con la participación",0.027,0.254,0.136
"P37","Apoyar totalmente la iniciativa del gobierno nacional porque es lo que votó la mayoría del pueblo argentino",0.02,0.254,0.137
"P37","No sabe",0.035,0.029,0.143
"P38","Oponerse totalmente y no concurrir a la convocatoria",0.641,0.205,0.299
"P38","Oponerse parcialmente y concurrir a la convocatoria",0.216,0.155,0.224
"P38","Apoyar la iniciativa del gobierno nacional y negociar otros temas en discusión",0.059,0.351,0.245
"P38","Apoyar totalmente la iniciativa del gobierno nacional",0.038,0.253,0.146
"P38","No sabe",0.046,0.036,0.086
"P39","Oponerse totalmente",0.684,0.195,0.253
"P39","Oponerse parcialmente",0.134,0.114,0.235
"P39","Apoyar parcialmente",0.106,0.322,0.346
"P39","Apoyar totalmente",0.026,0.331,0.073
"P39","No sabe",0.05,0.038,0.093
"P40","Inseguridad y narcotráfico",0.429,0.275,0.248
"P40","Altos impuestos y tarifas",0.152,0.177,0.187
"P40","Educación y estado de las escuelas",0.123,0.232,0.23
"P40","Inflación",0.157,0.159,0.178
"P40","Estado de la salud",0.075,0.093,0.039
"P40","Corrupción",0.016,0.055,0.068
"P40","Pobreza",0.026,0.005,0.015
"P40","Medio ambiente, incendios y contaminación",0.007,0.001,0.001
"P40","Falta de trabajo",0.012,0.003,0.005
"P40","No sabe",0.003,0,0.029
"P44","Muy buena",0.056,0.02,0.05
"P44","Buena",0.093,0.081,0.143
"P44","Ni buena ni mala",0.361,0.281,0.396
"P44","Mala",0.339,0.408,0.218
"P44","Muy mala",0.133,0.189,0.134
"P44","No sabe",0.018,0.021,0.059
"P45","Peor",0.726,0.532,0.414
"P45","Igual",0.154,0.301,0.297
"P45","Mejor",0.071,0.076,0.149
"P45","No sabe",0.049,0.091,0.14
"P46","Peor",0.708,0.444,0.418
"P46","Igual",0.182,0.287,0.343
"P46","Mejor",0.078,0.194,0.107
"P46","No sabe",0.032,0.075,0.132
"P47","Javier Milei",0.114,0.582,0.237
"P47","Los gobernadores",0.839,0.32,0.417
"P47","No sabe",0.047,0.098,0.346
"P48","Muy buena",0.207,0.06,0.085
"P48","Buena",0.301,0.155,0.265
"P48","Ni buena ni mala",0.298,0.235,0.395
"P48","Mala",0.116,0.329,0.101
"P48","Muy mala",0.071,0.212,0.119
"P48","No sabe",0.007,0.009,0.035
"P50","Muy buena",0.215,0.079,0.097
"P50","Buena",0.268,0.135,0.124
"P50","Ni buena ni mala",0.315,0.236,0.31
"P50","Mala",0.111,0.305,0.189
"P50","Muy mala",0.065,0.219,0.169
"P50","No sabe",0.026,0.026,0.111
"P51","Muy buena",0.05,0.158,0.092
"P51","Buena",0.115,0.2,0.18
"P51","Ni buena ni mala",0.35,0.304,0.329
"P51","Mala",0.261,0.171,0.112
"P51","Muy mala",0.176,0.128,0.149
"P51","No sabe",0.048,0.039,0.138
"P54","Muy buena",0.445,0.108,0.171
"P54","Buena",0.182,0.113,0.102
"P54","Ni buena ni mala",0.15,0.078,0.164
"P54","Mala",0.108,0.22,0.21
"P54","Muy mala",0.115,0.472,0.299
"P54","No sabe",0,0.009,0.054
"P55","Muy buena",0.03,0.11,0.115
"P55","Buena",0.054,0.218,0.154
"P55","Ni buena ni mala",0.057,0.215,0.232
"P55","Mala",0.312,0.213,0.261
"P55","Muy mala",0.539,0.242,0.222
"P55","No sabe",0.008,0.002,0.016
"P56","Muy buena",0.19,0.057,0.085
"P56","Buena",0.239,0.129,0.115
"P56","Ni buena ni mala",0.296,0.115,0.281
"P56","Mala",0.142,0.195,0.178
"P56","Muy mala",0.128,0.493,0.311
"P56","No sabe",0.005,0.011,0.03
"P57","Muy buena",0.469,0.111,0.125
"P57","Buena",0.16,0.107,0.103
"P57","Ni buena ni mala",0.134,0.064,0.213
"P57","Mala",0.11,0.215,0.142
"P57","Muy mala",0.113,0.49,0.35
"P57","No sabe",0.014,0.013,0.067
"P58","Muy buena",0.081,0.415,0.162
"P58","Buena",0.04,0.185,0.166
"P58","Ni buena ni mala",0.084,0.077,0.186
"P58","Mala",0.199,0.095,0.118
"P58","Muy mala",0.596,0.223,0.311
"P58","No sabe",0,0.005,0.057
"P59","Muy buena",0.056,0.326,0.178
"P59","Buena",0.053,0.285,0.229
"P59","Ni buena ni mala",0.088,0.104,0.196
"P59","Mala",0.189,0.062,0.091
"P59","Muy mala",0.614,0.22,0.28
"P59","No sabe",0,0.003,0.026
"P60","Muy buena",0.068,0.462,0.197
"P60","Buena",0.054,0.19,0.198
"P60","Ni buena ni mala",0.144,0.102,0.178
"P60","Mala",0.18,0.056,0.097
"P60","Muy mala",0.546,0.177,0.257
"P60","No sabe",0.008,0.013,0.073
"P61","Muy buena",0.04,0.1,0.094
"P61","Buena",0.082,0.23,0.173
"P61","Ni buena ni mala",0.368,0.417,0.377
"P61","Mala",0.193,0.121,0.074
"P61","Muy mala",0.285,0.095,0.195
"P61","No sabe",0.032,0.037,0.087
