"var","categoria","Empleado sector publico","Empleado sector privado","Changas o trabajos eventuales","Estudiante","Amas de casa","Profesional o independiente","Comerciante, emprendedor o empresario","Trabajador informal","No tengo trabajo"
"P33","4",0.041,0.048,0.059,0.055,0.033,0.058,0.027,0.193,0.055
"P33","5",0.175,0.132,0.184,0.129,0.112,0.17,0.161,0.178,0.156
"P33","6",0.057,0.055,0.048,0.099,0.017,0.048,0.057,0.258,0.034
"P33","7",0.042,0.04,0.051,0.028,0.038,0.028,0.044,0.018,0.011
"P33","8",0.083,0.073,0.06,0.18,0.093,0.052,0.097,0.13,0.017
"P33","9-Pésimo",0.286,0.271,0.124,0.289,0.168,0.218,0.274,0.126,0.233
"P33","No sabe",0.025,0.055,0.098,0.1,0.093,0.078,0.016,0,0.061
"P34","1-Excelente",0.145,0.152,0.169,0.1,0.263,0.192,0.157,0,0.215
"P34","2",0.08,0.108,0.14,0.03,0.129,0.058,0.148,0.032,0.175
"P34","3",0.077,0.061,0.06,0.114,0.058,0.153,0.055,0.009,0.083
"P34","4",0.065,0.061,0.079,0.009,0.059,0.052,0.042,0.292,0.095
"P34","5",0.135,0.126,0.173,0.102,0.082,0.139,0.127,0.181,0.053
"P34","6",0.049,0.026,0.045,0.044,0.017,0.02,0.082,0.034,0.042
"P34","7",0.028,0.023,0.03,0.06,0.052,0.028,0.083,0.081,0.019
"P34","8",0.083,0.089,0.02,0.027,0.019,0.07,0.067,0.153,0.018
"P34","9-Pésimo",0.312,0.297,0.208,0.414,0.219,0.24,0.226,0.218,0.244
"P34","No sabe",0.026,0.057,0.076,0.1,0.102,0.048,0.013,0,0.056
"P35","1-Excelente",0.138,0.147,0.219,0.118,0.122,0.155,0.136,0,0.263
"P35","2",0.067,0.122,0.115,0,0.136,0.057,0.124,0.033,0.14
"P35","3",0.056,0.069,0.06,0.156,0.181,0.188,0.06,0.149,0.064
"P35","4",0.104,0.055,0.094,0,0.096,0.082,0.083,0.116,0.065
"P35","5",0.14,0.127,0.155,0.143,0.109,0.082,0.161,0.363,0.067
"P35","6",0.057,0.037,0.054,0.086,0.035,0.066,0.113,0.034,0.046
"P35","7",0.056,0.034,0.034,0.004,0.026,0.038,0.062,0.058,0.008
"P35","8",0.056,0.072,0.044,0.027,0.021,0.041,0.019,0.085,0.031
"P35","9-Pésimo",0.298,0.281,0.145,0.364,0.23,0.228,0.233,0.162,0.256
"P35","No sabe",0.028,0.056,0.08,0.102,0.044,0.063,0.009,0,0.06
"P36","1-Excelente",0.096,0.134,0.186,0.222,0.094,0.108,0.187,0,0.169
"P36","2",0.126,0.138,0.126,0.043,0.188,0.106,0.085,0.033,0.163
"P36","3",0.06,0.057,0.086,0.037,0.136,0.137,0.099,0.096,0.032
"P36","4",0.071,0.04,0.06,0.01,0.153,0.033,0.022,0.061,0.052
"P36","5",0.16,0.13,0.172,0.159,0.123,0.167,0.194,0.416,0.143
"P36","6",0.064,0.053,0.045,0.022,0.037,0.064,0.066,0,0.051
"P36","7",0.052,0.049,0.039,0.021,0.052,0.023,0.101,0,0.055
"P36","8",0.056,0.058,0.049,0.226,0.017,0.053,0.036,0.264,0.015
"P36","9-Pésimo",0.277,0.266,0.148,0.215,0.142,0.249,0.182,0.058,0.252
"P36","No sabe",0.038,0.075,0.089,0.045,0.058,0.06,0.028,0.072,0.068
"P37","Oponerse totalmente y elevar un recurso de amparo ante la corte",0.476,0.379,0.46,0.124,0.443,0.341,0.399,0.285,0.436
"P37","Oponerse y tratar de negociar con el gobierno nacional a cambio de apoyo legislativo en otros temas",0.211,0.23,0.206,0.293,0.136,0.185,0.144,0.038,0.271
"P37","Apoyar las iniciativas del gobierno nacional y así no tener problemas con la participación",0.153,0.199,0.124,0.24,0.148,0.258,0.201,0.091,0.085
"P37","Apoyar totalmente la iniciativa del gobierno nacional porque es lo que votó la mayoría del pueblo argentino",0.128,0.186,0.133,0.265,0.144,0.202,0.242,0.218,0.144
"P37","No sabe",0.032,0.006,0.077,0.078,0.129,0.014,0.014,0.368,0.064
"P38","Oponerse totalmente y no concurrir a la convocatoria",0.409,0.289,0.409,0.111,0.408,0.316,0.346,0.219,0.42
"P38","Oponerse parcialmente y concurrir a la convocatoria",0.19,0.2,0.169,0.191,0.169,0.107,0.112,0.136,0.307
"P38","Apoyar la iniciativa del gobierno nacional y negociar otros temas en discusión",0.245,0.255,0.236,0.25,0.219,0.343,0.304,0.322,0.104
"P38","Apoyar totalmente la iniciativa del gobierno nacional",0.128,0.208,0.144,0.355,0.154,0.21,0.161,0.072,0.129
"P38","No sabe",0.028,0.048,0.042,0.093,0.05,0.024,0.077,0.251,0.04
"P39","Oponerse totalmente",0.374,0.305,0.409,0.14,0.422,0.313,0.343,0.274,0.465
"P39","Oponerse parcialmente",0.156,0.141,0.147,0.129,0.128,0.109,0.088,0.083,0.149
"P39","Apoyar parcialmente",0.279,0.263,0.258,0.153,0.237,0.247,0.348,0.242,0.223
"P39","Apoyar totalmente",0.167,0.239,0.13,0.447,0.111,0.32,0.211,0.09,0.133
"P39","No sabe",0.024,0.052,0.056,0.131,0.102,0.011,0.01,0.311,0.03
"P40","Inseguridad y narcotráfico",0.308,0.297,0.367,0.382,0.383,0.262,0.245,0.192,0.352
"P40","Altos impuestos y tarifas",0.17,0.183,0.156,0.122,0.176,0.194,0.107,0.187,0.201
"P40","Educación y estado de las escuelas",0.179,0.211,0.219,0.244,0.121,0.231,0.164,0.412,0.153
"P40","Inflación",0.197,0.174,0.152,0.149,0.16,0.163,0.136,0.025,0.107
"P40","Estado de la salud",0.068,0.085,0.09,0.033,0.096,0.078,0.167,0,0.035
"P40","Corrupción",0.043,0.043,0.014,0.045,0.017,0.056,0.128,0,0.084
"P40","Pobreza",0.012,0.005,0,0,0.027,0.009,0.043,0,0.041
"P40","Medio ambiente, incendios y contaminación",0.003,0.001,0.002,0,0,0.002,0.01,0.055,0.002
"P40","Falta de trabajo",0.02,0.001,0,0,0.009,0.003,0,0,0.009
"P40","No sabe",0,0,0,0.025,0.011,0.002,0,0.129,0.016
"P44","Muy buena",0.028,0.032,0.038,0.043,0.084,0.033,0.005,0,0.037
"P44","Buena",0.077,0.115,0.093,0.077,0.144,0.083,0.048,0.134,0.068
"P44","Ni buena ni mala",0.308,0.305,0.398,0.34,0.268,0.275,0.382,0.285,0.292
"P44","Mala",0.376,0.37,0.28,0.398,0.362,0.46,0.33,0.569,0.328
"P44","Muy mala",0.186,0.172,0.157,0.102,0.129,0.135,0.201,0.012,0.195
"P44","No sabe",0.025,0.006,0.034,0.04,0.013,0.014,0.034,0,0.08
"P45","Peor",0.624,0.55,0.532,0.541,0.586,0.644,0.512,0.749,0.587
"P45","Igual",0.201,0.286,0.209,0.341,0.261,0.264,0.422,0.083,0.248
"P45","Mejor",0.068,0.086,0.154,0,0.055,0.04,0.044,0.094,0.104
"P45","No sabe",0.107,0.078,0.105,0.118,0.098,0.052,0.022,0.074,0.061
"P46","Peor",0.51,0.499,0.571,0.492,0.483,0.476,0.557,0.536,0.592
"P46","Igual",0.245,0.291,0.28,0.211,0.243,0.278,0.194,0.082,0.27
"P46","Mejor",0.152,0.156,0.068,0.273,0.149,0.182,0.198,0.37,0.105
"P46","No sabe",0.093,0.054,0.081,0.024,0.125,0.064,0.051,0.012,0.033
"P47","Javier Milei",0.351,0.475,0.234,0.54,0.309,0.539,0.542,0.265,0.322
"P47","Los gobernadores",0.518,0.441,0.623,0.383,0.494,0.406,0.372,0.608,0.517
"P47","No sabe",0.131,0.084,0.143,0.077,0.197,0.055,0.086,0.127,0.161
"P48","Muy buena",0.134,0.1,0.081,0.238,0.172,0.067,0.099,0.031,0.09
"P48","Buena",0.228,0.26,0.233,0.128,0.211,0.138,0.217,0.217,0.169
"P48","Ni buena ni mala",0.269,0.252,0.29,0.129,0.412,0.305,0.191,0.299,0.304
"P48","Mala",0.231,0.217,0.221,0.22,0.12,0.337,0.322,0.422,0.184
"P48","Muy mala",0.138,0.156,0.152,0.244,0.065,0.148,0.171,0.031,0.246
"P48","No sabe",0,0.015,0.023,0.041,0.02,0.005,0,0,0.007
"P50","Muy buena",0.14,0.081,0.182,0.029,0.189,0.072,0.078,0.033,0.167
"P50","Buena",0.177,0.214,0.179,0.026,0.206,0.141,0.1,0.138,0.192
"P50","Ni buena ni mala",0.263,0.266,0.249,0.467,0.279,0.261,0.277,0.447,0.231
"P50","Mala",0.243,0.249,0.203,0.135,0.193,0.268,0.334,0.049,0.191
"P50","Muy mala",0.16,0.16,0.134,0.162,0.091,0.249,0.211,0.166,0.189
"P50","No sabe",0.017,0.03,0.053,0.181,0.042,0.009,0,0.167,0.03
"P51","Muy buena",0.159,0.117,0.082,0.042,0.117,0.103,0.208,0,0.095
"P51","Buena",0.109,0.243,0.156,0.106,0.179,0.248,0.141,0.043,0.125
"P51","Ni buena ni mala",0.309,0.268,0.385,0.4,0.398,0.307,0.279,0.308,0.294
"P51","Mala",0.21,0.184,0.169,0.177,0.182,0.207,0.159,0.166,0.235
"P51","Muy mala",0.175,0.151,0.118,0.131,0.05,0.121,0.208,0,0.225
"P51","No sabe",0.038,0.037,0.09,0.144,0.074,0.014,0.005,0.483,0.026
"P54","Muy buena",0.233,0.152,0.249,0.228,0.337,0.182,0.227,0.226,0.255
"P54","Buena",0.145,0.167,0.1,0,0.131,0.124,0.053,0.039,0.226
"P54","Ni buena ni mala",0.07,0.142,0.154,0.126,0.116,0.071,0.113,0.161,0.064
"P54","Mala",0.214,0.174,0.208,0.054,0.156,0.208,0.2,0.403,0.111
"P54","Muy mala",0.329,0.365,0.259,0.55,0.237,0.404,0.407,0.171,0.344
"P54","No sabe",0.009,0,0.03,0.042,0.023,0.011,0,0,0
"P55","Muy buena",0.067,0.087,0.071,0.132,0.096,0.116,0.117,0.025,0.086
"P55","Buena",0.195,0.201,0.092,0.161,0.147,0.154,0.209,0.03,0.113
"P55","Ni buena ni mala",0.156,0.192,0.203,0.115,0.157,0.177,0.164,0.055,0.102
"P55","Mala",0.23,0.247,0.287,0.21,0.266,0.264,0.17,0.565,0.216
"P55","Muy mala",0.35,0.268,0.336,0.36,0.327,0.289,0.331,0.325,0.481
"P55","No sabe",0.002,0.005,0.011,0.022,0.007,0,0.009,0,0.002
"P56","Muy buena",0.122,0.075,0.097,0.119,0.141,0.036,0.079,0.026,0.197
"P56","Buena",0.177,0.128,0.15,0.16,0.202,0.173,0.222,0.494,0.104
"P56","Ni buena ni mala",0.169,0.196,0.264,0.116,0.238,0.149,0.103,0.105,0.206
"P56","Mala",0.162,0.199,0.208,0.076,0.089,0.201,0.194,0.039,0.185
"P56","Muy mala",0.369,0.391,0.264,0.487,0.318,0.431,0.402,0.21,0.304
"P56","No sabe",0.001,0.011,0.017,0.042,0.012,0.01,0,0.126,0.004
"P57","Muy buena",0.236,0.197,0.198,0.107,0.306,0.219,0.234,0.256,0.315
"P57","Buena",0.133,0.128,0.161,0.077,0.089,0.078,0.153,0,0.101
"P57","Ni buena ni mala",0.092,0.128,0.143,0.067,0.112,0.056,0.084,0.039,0.095
"P57","Mala",0.19,0.15,0.157,0.197,0.211,0.173,0.161,0.375,0.155
"P57","Muy mala",0.348,0.376,0.327,0.498,0.263,0.421,0.368,0.146,0.316
"P57","No sabe",0.001,0.021,0.014,0.054,0.019,0.053,0,0.184,0.018
"P58","Muy buena",0.277,0.33,0.187,0.369,0.285,0.353,0.324,0.125,0.182
"P58","Buena",0.117,0.14,0.156,0.239,0.077,0.158,0.205,0.055,0.082
"P58","Ni buena ni mala",0.073,0.132,0.097,0.005,0.12,0.056,0.034,0.275,0.114
"P58","Mala",0.153,0.142,0.139,0.094,0.195,0.09,0.088,0.061,0.071
"P58","Muy mala",0.375,0.254,0.415,0.271,0.309,0.34,0.288,0.357,0.545
"P58","No sabe",0.005,0.002,0.006,0.022,0.014,0.003,0.061,0.127,0.006
"P59","Muy buena",0.251,0.222,0.164,0.297,0.218,0.321,0.262,0.049,0.137
"P59","Buena",0.133,0.292,0.221,0.293,0.186,0.167,0.208,0.073,0.131
"P59","Ni buena ni mala",0.116,0.108,0.108,0.111,0.055,0.107,0.105,0.423,0.134
"P59","Mala",0.115,0.11,0.12,0.017,0.12,0.089,0.091,0.061,0.107
"P59","Muy mala",0.385,0.268,0.382,0.26,0.407,0.313,0.334,0.267,0.491
"P59","No sabe",0,0,0.005,0.022,0.014,0.003,0,0.127,0
"P60","Muy buena",0.331,0.355,0.21,0.366,0.241,0.445,0.354,0.159,0.156
"P60","Buena",0.112,0.178,0.167,0.224,0.12,0.124,0.181,0.353,0.08
"P60","Ni buena ni mala",0.096,0.157,0.144,0.107,0.209,0.051,0.037,0.025,0.157
"P60","Mala",0.117,0.081,0.105,0.206,0.075,0.069,0.061,0.081,0.14
"P60","Muy mala",0.343,0.217,0.341,0.075,0.3,0.308,0.367,0.244,0.436
"P60","No sabe",0.001,0.012,0.033,0.022,0.055,0.003,0,0.138,0.031
"P61","Muy buena",0.09,0.119,0.062,0.048,0.064,0.072,0.033,0.091,0.063
"P61","Buena",0.176,0.187,0.19,0.12,0.132,0.227,0.239,0.091,0.102
"P61","Ni buena ni mala",0.391,0.427,0.325,0.523,0.458,0.414,0.433,0.238,0.347
"P61","Mala",0.155,0.12,0.122,0.215,0.104,0.11,0.17,0.145,0.173
"P61","Muy mala",0.164,0.13,0.239,0.049,0.184,0.119,0.12,0.034,0.27
"P61","No sabe",0.024,0.017,0.062,0.045,0.058,0.058,0.005,0.401,0.045
