"var","categoria","Florencio Randazzo","Cristian Ritondo","Algun diputado del bloque de Milei","No sabe"
"P35","Ni buena ni mala",0.259,0.189,0.125,0.305
"P35","Mala",0.286,0.265,0.205,0.22
"P35","Muy mala",0.219,0.373,0.43,0.18
"P35","No sabe",0.014,0.016,0.063,0.072
"P36","Muy buena",0.097,0.036,0.058,0.152
"P36","Buena",0.16,0.133,0.148,0.223
"P36","Ni buena ni mala",0.28,0.272,0.164,0.251
"P36","Mala",0.256,0.256,0.236,0.183
"P36","Muy mala",0.199,0.294,0.343,0.155
"P36","No sabe",0.008,0.009,0.051,0.036
"P37","Muy buena",0.056,0.019,0.065,0.039
"P37","Buena",0.086,0.079,0.104,0.16
"P37","Ni buena ni mala",0.234,0.265,0.152,0.316
"P37","Mala",0.328,0.249,0.189,0.266
"P37","Muy mala",0.276,0.375,0.469,0.2
"P37","No sabe",0.02,0.013,0.021,0.019
"P38","Muy buena",0.124,0.054,0.048,0.079
"P38","Buena",0.092,0.1,0.065,0.136
"P38","Ni buena ni mala",0.249,0.163,0.137,0.3
"P38","Mala",0.278,0.229,0.268,0.216
"P38","Muy mala",0.253,0.454,0.482,0.244
"P38","No sabe",0.004,0,0,0.025
"P39","Muy buena",0.298,0.181,0.175,0.467
"P39","Buena",0.155,0.095,0.077,0.117
"P39","Ni buena ni mala",0.111,0.106,0.075,0.122
"P39","Mala",0.157,0.16,0.133,0.103
"P39","Muy mala",0.273,0.458,0.536,0.183
"P39","No sabe",0.006,0,0.004,0.008
"P40","Muy buena",0.096,0.202,0.127,0.017
"P40","Buena",0.132,0.251,0.16,0.05
"P40","Ni buena ni mala",0.245,0.154,0.266,0.13
"P40","Mala",0.283,0.209,0.249,0.277
"P40","Muy mala",0.24,0.183,0.198,0.507
"P40","No sabe",0.004,0.001,0,0.019
"P41","Muy buena",0.149,0.118,0.065,0.021
"P41","Buena",0.145,0.201,0.134,0.12
"P41","Ni buena ni mala",0.322,0.288,0.262,0.378
"P41","Mala",0.227,0.223,0.244,0.249
"P41","Muy mala",0.152,0.168,0.28,0.204
"P41","No sabe",0.005,0.002,0.015,0.028
"P42","Muy buena",0.173,0.115,0.133,0.188
"P42","Buena",0.161,0.099,0.102,0.289
"P42","Ni buena ni mala",0.214,0.189,0.095,0.225
"P42","Mala",0.22,0.143,0.214,0.073
"P42","Muy mala",0.23,0.446,0.447,0.221
"P42","No sabe",0.002,0.008,0.009,0.004
"P43","Muy buena",0.069,0.158,0.092,0.053
"P43","Buena",0.135,0.233,0.131,0.079
"P43","Ni buena ni mala",0.291,0.286,0.3,0.194
"P43","Mala",0.308,0.156,0.257,0.326
"P43","Muy mala",0.192,0.167,0.207,0.33
"P43","No sabe",0.005,0,0.013,0.018
"P44","Muy buena",0.306,0.174,0.189,0.425
"P44","Buena",0.125,0.17,0.097,0.1
"P44","Ni buena ni mala",0.18,0.119,0.054,0.205
"P44","Mala",0.139,0.125,0.151,0.076
"P44","Muy mala",0.249,0.403,0.509,0.177
"P44","No sabe",0.001,0.009,0,0.017
"P45","Muy buena",0.094,0.176,0.052,0.062
"P45","Buena",0.076,0.269,0.112,0.031
"P45","Ni buena ni mala",0.473,0.358,0.276,0.383
"P45","Mala",0.175,0.051,0.179,0.172
"P45","Muy mala",0.142,0.11,0.263,0.181
"P45","No sabe",0.04,0.036,0.118,0.171
"P46","Muy buena",0.215,0.292,0.527,0.074
"P46","Buena",0.175,0.226,0.173,0.089
"P46","Ni buena ni mala",0.204,0.177,0.16,0.137
"P46","Mala",0.183,0.084,0.06,0.252
"P46","Muy mala",0.208,0.2,0.072,0.416
"P46","No sabe",0.015,0.021,0.008,0.032
"P47","Muy buena",0.169,0.38,0.199,0.045
"P47","Buena",0.197,0.203,0.262,0.08
"P47","Ni buena ni mala",0.211,0.101,0.246,0.108
"P47","Mala",0.208,0.146,0.158,0.278
"P47","Muy mala",0.208,0.17,0.135,0.464
"P47","No sabe",0.007,0,0,0.025
"P48","Muy buena",0.218,0.119,0.093,0.217
"P48","Buena",0.125,0.16,0.175,0.132
"P48","Ni buena ni mala",0.378,0.276,0.273,0.236
"P48","Mala",0.102,0.168,0.133,0.145
"P48","Muy mala",0.151,0.249,0.211,0.144
"P48","No sabe",0.026,0.028,0.115,0.126
"P49","Muy buena",0.145,0.034,0.079,0.096
"P49","Buena",0.089,0.157,0.131,0.121
"P49","Ni buena ni mala",0.413,0.188,0.269,0.335
"P49","Mala",0.102,0.183,0.089,0.125
"P49","Muy mala",0.235,0.424,0.327,0.166
"P49","No sabe",0.016,0.014,0.105,0.157
"P50","Muy buena",0.094,0.076,0.058,0.009
"P50","Buena",0.235,0.096,0.14,0.117
"P50","Ni buena ni mala",0.31,0.351,0.331,0.439
"P50","Mala",0.192,0.215,0.171,0.229
"P50","Muy mala",0.148,0.258,0.237,0.12
"P50","No sabe",0.021,0.004,0.063,0.086
"P52","Muy buena",0.209,0.338,0.36,0.04
"P52","Buena",0.158,0.214,0.096,0.046
"P52","Ni buena ni mala",0.264,0.161,0.227,0.181
"P52","Mala",0.136,0.117,0.078,0.212
"P52","Muy mala",0.217,0.17,0.216,0.453
"P52","No sabe",0.016,0,0.023,0.068
"P53","Muy buena",0.138,0.153,0.116,0.037
"P53","Buena",0.254,0.206,0.185,0.07
"P53","Ni buena ni mala",0.391,0.393,0.355,0.364
"P53","Mala",0.133,0.095,0.153,0.163
"P53","Muy mala",0.054,0.134,0.101,0.244
"P53","No sabe",0.03,0.019,0.09,0.122
"P54","Radio",0.176,0.174,0.079,0.101
"P54","Televisión",0.445,0.423,0.347,0.4
"P54","Diario",0.07,0.094,0.088,0.051
"P54","Medio digital",0.188,0.12,0.236,0.237
"P54","Redes Sociales",0.1,0.117,0.198,0.142
"P54","Ninguno en particular",0.021,0.071,0.046,0.066
"P54","No sabe",0,0.001,0.006,0.003
"P55","Muy buena",0.095,0.02,0.046,0.082
"P55","Buena",0.161,0.158,0.036,0.095
"P55","Ni buena ni mala",0.289,0.283,0.389,0.507
"P55","Mala",0.276,0.311,0.231,0.2
"P55","Muy mala",0.169,0.228,0.278,0.068
"P55","No sabe",0.01,0,0.02,0.048
"P56","Muy buena",0.056,0.047,0.014,0.038
"P56","Buena",0.092,0.13,0.023,0.032
"P56","Ni buena ni mala",0.219,0.274,0.226,0.276
"P56","Mala",0.344,0.307,0.273,0.355
"P56","Muy mala",0.272,0.239,0.439,0.287
"P56","No sabe",0.017,0.003,0.025,0.012
