"var","categoria","Javier Milei","Mauricio Macri","Ambos","No sabe"
"P32","Mejor",0.301,0.048,0.12,0.063
"P32","Igual",0.272,0.125,0.224,0.103
"P32","Peor",0.306,0.742,0.502,0.452
"P32","No sabe",0.121,0.085,0.154,0.382
"P33","Muy buena",0.052,0.096,0.073,0.089
"P33","Buena",0.098,0.22,0.116,0.028
"P33","Ni buena ni mala",0.169,0.371,0.31,0.274
"P33","Mala",0.227,0.249,0.223,0.35
"P33","Muy mala",0.43,0.053,0.255,0.172
"P33","No sabe",0.024,0.011,0.023,0.087
"P34","Muy buena",0.074,0.425,0.173,0.155
"P34","Buena",0.077,0.181,0.211,0.22
"P34","Ni buena ni mala",0.187,0.22,0.181,0.217
"P34","Mala",0.255,0.106,0.182,0.166
"P34","Muy mala",0.379,0.039,0.185,0.179
"P34","No sabe",0.028,0.029,0.068,0.063
"P35","Muy buena",0.042,0.112,0.093,0.117
"P35","Buena",0.041,0.229,0.137,0
"P35","Ni buena ni mala",0.157,0.321,0.177,0.28
"P35","Mala",0.252,0.229,0.284,0.258
"P35","Muy mala",0.48,0.073,0.289,0.194
"P35","No sabe",0.028,0.036,0.02,0.151
"P36","Muy buena",0.022,0.167,0.086,0.071
"P36","Buena",0.059,0.287,0.178,0.18
"P36","Ni buena ni mala",0.179,0.319,0.25,0.297
"P36","Mala",0.308,0.141,0.258,0.211
"P36","Muy mala",0.412,0.053,0.211,0.23
"P36","No sabe",0.02,0.033,0.017,0.011
"P37","Muy buena",0.031,0.061,0.041,0.04
"P37","Buena",0.016,0.194,0.15,0.126
"P37","Ni buena ni mala",0.131,0.39,0.182,0.342
"P37","Mala",0.26,0.236,0.35,0.27
"P37","Muy mala",0.542,0.101,0.266,0.204
"P37","No sabe",0.02,0.018,0.011,0.018
"P38","Muy buena",0.04,0.114,0.067,0.183
"P38","Buena",0.04,0.174,0.043,0.204
"P38","Ni buena ni mala",0.146,0.283,0.279,0.193
"P38","Mala",0.203,0.261,0.345,0.264
"P38","Muy mala",0.567,0.154,0.266,0.15
"P38","No sabe",0.004,0.014,0,0.006
"P39","Muy buena",0.083,0.537,0.25,0.298
"P39","Buena",0.05,0.164,0.167,0.151
"P39","Ni buena ni mala",0.076,0.12,0.148,0.131
"P39","Mala",0.165,0.102,0.167,0.119
"P39","Muy mala",0.622,0.075,0.261,0.282
"P39","No sabe",0.004,0.002,0.007,0.019
"P40","Muy buena",0.164,0.075,0.081,0
"P40","Buena",0.227,0.054,0.184,0.058
"P40","Ni buena ni mala",0.307,0.067,0.166,0.278
"P40","Mala",0.173,0.303,0.332,0.385
"P40","Muy mala",0.125,0.493,0.235,0.261
"P40","No sabe",0.004,0.008,0.002,0.018
"P41","Muy buena",0.093,0.081,0.148,0.018
"P41","Buena",0.173,0.127,0.176,0.085
"P41","Ni buena ni mala",0.31,0.336,0.265,0.34
"P41","Mala",0.17,0.298,0.206,0.378
"P41","Muy mala",0.245,0.147,0.188,0.147
"P41","No sabe",0.009,0.011,0.017,0.032
"P42","Muy buena",0.057,0.278,0.111,0.188
"P42","Buena",0.035,0.265,0.268,0.273
"P42","Ni buena ni mala",0.133,0.288,0.114,0.139
"P42","Mala",0.202,0.081,0.25,0.158
"P42","Muy mala",0.561,0.087,0.257,0.242
"P42","No sabe",0.012,0.001,0,0
"P43","Muy buena",0.119,0.056,0.14,0.03
"P43","Buena",0.225,0.061,0.096,0.2
"P43","Ni buena ni mala",0.328,0.176,0.27,0.369
"P43","Mala",0.202,0.331,0.294,0.219
"P43","Muy mala",0.123,0.368,0.166,0.182
"P43","No sabe",0.003,0.008,0.034,0
"P44","Muy buena",0.067,0.551,0.144,0.436
"P44","Buena",0.066,0.148,0.278,0.062
"P44","Ni buena ni mala",0.135,0.155,0.151,0.158
"P44","Mala",0.163,0.068,0.162,0.061
"P44","Muy mala",0.566,0.072,0.251,0.258
"P44","No sabe",0.003,0.006,0.014,0.025
"P45","Muy buena",0.085,0.13,0.089,0.054
"P45","Buena",0.137,0.094,0.161,0.099
"P45","Ni buena ni mala",0.387,0.323,0.455,0.536
"P45","Mala",0.12,0.202,0.098,0.053
"P45","Muy mala",0.19,0.17,0.122,0.076
"P45","No sabe",0.081,0.081,0.075,0.182
"P46","Muy buena",0.464,0.082,0.163,0.115
"P46","Buena",0.242,0.059,0.223,0.144
"P46","Ni buena ni mala",0.172,0.133,0.204,0.324
"P46","Mala",0.051,0.275,0.09,0.24
"P46","Muy mala",0.053,0.433,0.297,0.15
"P46","No sabe",0.018,0.018,0.023,0.027
"P47","Muy buena",0.306,0.077,0.189,0.136
"P47","Buena",0.315,0.028,0.202,0.088
"P47","Ni buena ni mala",0.249,0.075,0.126,0.151
"P47","Mala",0.064,0.305,0.274,0.397
"P47","Muy mala",0.064,0.504,0.202,0.182
"P47","No sabe",0.002,0.011,0.007,0.046
"P48","Muy buena",0.075,0.32,0.062,0.176
"P48","Buena",0.102,0.185,0.194,0.123
"P48","Ni buena ni mala",0.321,0.243,0.33,0.328
"P48","Mala",0.125,0.131,0.174,0.165
"P48","Muy mala",0.282,0.069,0.2,0.143
"P48","No sabe",0.095,0.052,0.04,0.065
"P49","Muy buena",0.035,0.178,0.054,0.076
"P49","Buena",0.078,0.205,0.06,0.096
"P49","Ni buena ni mala",0.235,0.386,0.386,0.219
"P49","Mala",0.122,0.098,0.159,0.238
"P49","Muy mala",0.461,0.077,0.263,0.233
"P49","No sabe",0.069,0.056,0.078,0.138
"P50","Muy buena",0.045,0.061,0.061,0.151
"P50","Buena",0.119,0.207,0.163,0.041
"P50","Ni buena ni mala",0.327,0.388,0.411,0.304
"P50","Mala",0.183,0.218,0.173,0.314
"P50","Muy mala",0.277,0.101,0.129,0.142
"P50","No sabe",0.049,0.025,0.063,0.048
"P52","Muy buena",0.424,0.055,0.096,0.079
"P52","Buena",0.194,0.071,0.105,0.072
"P52","Ni buena ni mala",0.214,0.137,0.374,0.241
"P52","Mala",0.058,0.226,0.103,0.304
"P52","Muy mala",0.085,0.49,0.287,0.243
"P52","No sabe",0.025,0.021,0.035,0.061
"P53","Muy buena",0.175,0.044,0.109,0.029
"P53","Buena",0.242,0.099,0.228,0.093
"P53","Ni buena ni mala",0.369,0.354,0.428,0.455
"P53","Mala",0.059,0.226,0.083,0.27
"P53","Muy mala",0.074,0.23,0.115,0.059
"P53","No sabe",0.081,0.047,0.037,0.094
"P54","Radio",0.138,0.132,0.113,0.196
"P54","Televisión",0.409,0.425,0.388,0.347
"P54","Diario",0.103,0.023,0.103,0.099
"P54","Medio digital",0.159,0.227,0.249,0.136
"P54","Redes Sociales",0.141,0.145,0.108,0.092
"P54","Ninguno en particular",0.05,0.048,0.027,0.119
"P54","No sabe",0,0,0.012,0.011
"P55","Muy buena",0.029,0.109,0.03,0.101
"P55","Buena",0.071,0.189,0.072,0.139
"P55","Ni buena ni mala",0.256,0.47,0.433,0.42
"P55","Mala",0.313,0.182,0.296,0.183
"P55","Muy mala",0.295,0.048,0.163,0.122
"P55","No sabe",0.036,0.002,0.006,0.035
"P56","Muy buena",0.044,0.049,0.024,0
"P56","Buena",0.08,0.077,0.057,0.017
"P56","Ni buena ni mala",0.266,0.192,0.279,0.385
"P56","Mala",0.319,0.301,0.354,0.412
"P56","Muy mala",0.278,0.369,0.28,0.134
"P56","No sabe",0.013,0.012,0.006,0.052
